"gnd_id","call_count","avg_call_duration","nighttime_call_count","avg_nighttime_call_duration","incoming_call_count","avg_incoming_call_duration","radius_of_gyration","unique_tower_count","spatial_entropy","avg_call_count_per_contact","avg_call_duration_per_contact","contact_count","social_entropy"
7218085,694.935741206861,131.541863289258,52.1636551117547,172.227715116541,320.273940167459,134.101915440625,21.5043079392548,20.7007142668911,0.389973455204626,8.53704341058674,1361.60488711146,73.3522082443377,0.592514750454192
7218090,945.164773030154,135.604522590151,71.3311593738819,187.133979226208,437.983211113953,135.55645473282,23.2363725361195,27.3722298992425,0.339929200793974,9.57451018791483,1497.15644632327,86.6956876143599,0.577537334474833
7218095,1033.26443797596,137.034887887713,78.0795797751166,192.382118758553,479.425833721807,136.068563274958,23.8461911074781,29.7211111925712,0.322309814217161,9.93977745856757,1544.88091244702,91.3936079685837,0.572264144078032
7218100,1230.98475808213,124.551651994395,90.2802340249516,173.511720797058,567.232704433896,121.260952463751,22.7246482850979,32.815320231204,0.346565262502558,11.0040672250711,1651.16174181667,100.237575287424,0.589963179220891
7218105,1037.62346079067,137.105659949841,78.4134802333117,192.641787849979,481.47634478289,136.093901541742,23.8763639017379,29.8373298768633,0.321438036689559,9.95785026698302,1547.24223852862,91.6260531432275,0.572003235511767
7218110,1037.62346079067,137.105659949841,78.4134802333117,192.641787849979,481.47634478289,136.093901541742,23.8763639017379,29.8373298768633,0.321438036689559,9.95785026698302,1547.24223852862,91.6260531432275,0.572003235511767
7218115,1025.08285785846,136.902053689344,77.4528720321025,191.894738083763,475.577168266051,136.021005124008,23.7895588885664,29.5029768727491,0.323946079492296,9.9058560645959,1540.4488689865,90.9573246772153,0.572753851153038
7218120,1148.96103055185,130.265124271893,85.2899744877088,182.192813484673,531.522207461233,128.097331508665,23.2305614325087,31.4418921468244,0.334783248670251,10.5324015782177,1607.03160434116,96.6872802941372,0.582460590497487
7218125,1037.62346079067,137.105659949841,78.4134802333117,192.641787849979,481.47634478289,136.093901541742,23.8763639017379,29.8373298768633,0.321438036689559,9.95785026698302,1547.24223852862,91.6260531432275,0.572003235511767
7218130,1126.95963803649,132.064382817681,84.0165921953231,185.141513201368,521.753119020988,130.124804543009,23.4314738852223,31.1953891253313,0.330303353685813,10.4130206208964,1595.24371949209,95.7324536285224,0.579508162857881
7218135,1076.73697039768,134.898468557857,80.8666563185293,189.35798868394,499.110477389389,133.480488478123,23.6815804394035,30.4319206138843,0.325319483963645,10.1571347065304,1568.25843202781,93.4239332385353,0.57528907174548
7218140,1364.9696151865,118.037191875447,99.072473203459,163.774386925804,629.103941761175,113.481332226658,22.2140240424132,34.732814065057,0.357009882867115,11.656983269316,1726.37202695098,106.389461228108,0.600163047816914
