gnd_id,tower_id,intersection_area
"1227690","33424",198500.103912354
"1227690","32924",80795.3633117676
"1227585","34190",2839281.32208252
"1227585","33186",5959.65518188477
"1209295","37936",1361159.44970703
"1209460","37695",1212856.40557861
"1209460","38200",6600.91213989258
"1209465","37943",1092593.43734741
"1209465","37695",1251028.25991821
"1209450","38200",1035975.91485596
"1209305","37932",1888431.90939331
"1209305","37936",1376.63543701172
"1209495","37689",314891.478668213
"1209495","37688",1602726.96655273
"1209495","38440",357522.557159424
"1233430","31151",72081.4054260254
"1233430","31152",269671.419311523
"1233125","32926",445337.700927734
"1233125","32175",185519.052520752
"1233440","31152",224686.325592041
"1233440","30902",135449.139343262
"1233385","31156",151245.734802246
"1233385","30904",24571.0889282227
"1233385","31407",171384.59576416
"1233435","31151",28031.9585266113
"1233435","31152",453174.554107666
"1233435","30902",30860.781463623
"1230285","31427",1180730.08956909
"1233445","30902",361874.785583496
"1233445","30903",659.119415283203
"1233445","30904",16626.3173217773
"1233400","30904",367425.782012939
"1227740","33435",223043.487945557
"1227740","33935",337087.171539307
"1227740","32929",617943.250152588
"1227735","33435",425580.375488281
"1227735","33935",354574.728363037
"1227735","32929",75896.0763549805
"1227730","33435",1904677.78955078
"1212115","37952",70165.3867492676
"1212115","38204",594873.618682861
"1227725","33186",2082250.2538147
"1227720","33435",698048.581756592
"1227720","33186",214316.558135986
"1233185","31166",1776071.02398682
"1233185","30913",43178.4214477539
"1233185","31419",120997.442626953
"1233320","31161",756341.064331055
"1233320","30909",2.1180419921875
"1233320","30908",18020.4933776855
"1212050","39457",1446785.72564697
"1212050","39710",319292.076843262
"1212050","38958",98453.0741882324
"1212035","39710",999043.027374268
"1212035","38958",1978021.32778931
"1227675","34430",19600.1158752441
"1227675","33675",553487.554107666
"1227675","33931",273548.351593018
"1227675","32924",9351.32583618164
"1212540","36448",60236.7375488281
"1212540","37200",40837.7563171387
"1212540","35944",604630.263427734
"1227595","33442",1229666.09207153
"1227595","34190",66919.1485900879
"1227595","33186",2592625.40380859
"1227685","33675",299243.407897949
"1227600","34190",435892.891998291
"1227600","33186",1248176.92764282
"1212130","38209",272094.997406006
"1212130","38958",390980.297241211
"1212010","40713",2316147.51150513
"1212010","39710",2294094.73724365
"1224505","31666",544054.658813477
"1224505","31663",343488.142669678
"1224505","31413",35708.8560791016
"1224505","32167",931979.598052979
"1212015","40713",2594.30871582031
"1212015","39710",3348797.9909668
"1212005","39457",63265.853729248
"1212005","40713",2104216.73498535
"1212005","39710",1367948.7310791
"1212005","39706",1633738.34249878
"1212020","39457",97631.4133911133
"1212020","39710",467484.24432373
"1212025","39457",1732114.74536133
"1212025","39710",85619.9199523926
"1212025","39706",270578.08770752
"1212030","39710",501662.168121338
"1212040","39710",1441619.01370239
"1212040","38958",432989.03338623
"1227120","35185",842083.916534424
"1227120","35686",409527.77633667
"1212515","36448",544675.863098145
"1212515","36953",18291.8069763184
"1227310","34430",12265.3105773926
"1227310","35183",216021.544036865
"1227310","34682",124650.412811279
"1227310","34679",10983.5691833496
"1227135","35183",237184.480926514
"1227135","35686",450340.578094482
"1227135","35683",345160.603515625
"1209455","37695",1177206.32037354
"1209455","38200",277895.485717773
"1227560","34440",469624.811096191
"1227715","33435",916495.053405762
"1209475","37943",1207819.52471924
"1209475","37690",220213.188140869
"1227060","35440",485857.838745117
"1227060","35941",109079.18359375
"1227050","35187",390428.909698486
"1227050","35686",22318.1248474121
"1227050","35440",76534.9368591309
"1227050","35941",295455.394714355
"1227125","35686",316715.715911865
"1227040","35686",388704.514526367
"1227575","34190",388184.94152832
"1227225","34939",56575.8562316895
"1227225","35440",89463.0109863281
"1233390","31156",87139.3173217773
"1233390","30904",282148.772491455
"1227330","35185",80019.5367736816
"1227330","34934",1068.22842407227
"1227330","34682",645839.010162354
"1227030","35686",555604.604370117
"1227630","34437",67722.2725524902
"1227630","33935",326593.220001221
"1227640","34437",57708.6480712891
"1227640","33935",391629.403076172
"1227070","35193",32940.8823547363
"1227070","34939",23595.9155273438
"1227070","35440",2090908.6993103
"1227070","35944",85467.9654541016
"1227070","35941",109093.576721191
"1227065","35440",770949.64050293
"1227065","35941",356531.051513672
"1227025","35686",279946.351593018
"1224420","32415",294189.970092773
"1224420","32916",205872.047576904
"1227045","35187",56388.3496398926
"1227045","35185",57655.6526489258
"1227045","35686",441221.649780273
"1227045","35941",130109.608581543
"1236100","30398",118387.759094238
"1236100","30400",664.281555175781
"1236100","30650",262948.748168945
"1233450","31152",156247.767486572
"1233450","30902",153307.805084229
"1227140","35183",1153178.34783936
"1227140","35683",713790.818328857
"1227085","35440",513773.778076172
"1227085","35944",38297.9643249512
"1236120","30397",358155.553771973
"1236120","30396",243928.925079346
"1236120","30146",72825.249420166
"1236120","30647",11117.4092712402
"1215560","35421",703067.717132568
"1236090","30401",16135.1952819824
"1236090","30400",375707.248840332
"1236090","30148",17767.3730773926
"1236090","30651",10494.2451171875
"1236090","30650",3562.42263793945
"1236115","30397",478979.845947266
"1236115","30145",1135.45602416992
"1236115","30146",463374.612792969
"1236115","29894",29924.5585327148
"1236115","30648",13817.1430358887
"1215505","34424",661753.031616211
"1215505","33922",90440.5038757324
"1215605","33669",56636.2301330566
"1215605","34167",6699.5625
"1215605","34670",175616.324951172
"1215605","34673",97003.5442810059
"1215605","34672",769203.789459229
"1215515","34424",258093.997711182
"1215515","33922",534218.548553467
"1215600","33669",47948.1904602051
"1215600","33666",100484.952728271
"1215600","34167",434698.860626221
"1215600","34670",141240.393707275
"1215600","34672",4318.48724365234
"1233035","33675",47944.8539123535
"1233035","33424",3782.37426757812
"1233035","33931",93639.0739135742
"1233035","32924",1852544.00762939
"1233045","33931",1541489.89309692
"1233045","32926",13698.0479431152
"1233045","32929",466251.959289551
"1221025","34413",212961.019989014
"1221025","34163",989753.029327393
"1221025","34162",627343.307769775
"1206390","34413",261952.764282227
"1206390","34161",4013.15808105469
"1206390","34162",18068.7194519043
"1206390","34160",81563.0643005371
"1230665","29165",325284.317352295
"1230665","28912",1684803.08618164
"1230640","29409",185243.066223145
"1230640","28658",1137717.60720825
"1230640","29158",78742.9860229492
"1218010","34407",1243762.67883301
"1218010","33656",903178.45602417
"1218005","34407",916698.998809814
"1218005","33656",377182.705505371
"1218020","33656",69961.5210571289
"1218020","33909",1017919.86135864
