tower_Id,tower_area
"3837",9602809.14492798
"20170",40643119.5970764
"3831",3487411.03570557
"24265",42109541.9179382
"3833",11257401.6288452
"24266",42253941.8695679
"7927",21066383.1971741
"3830",1053984.79516602
"40732",6834836.24261475
"53027",34798987.8582764
"40733",20574249.2841797
"40719",28512231.3535461
"16114",33268222.5736084
"53016",30875331.5063782
"28405",4285723.30395508
"16105",23999970.2095032
"28400",3332571.7088623
"36675",3986157.84088135
"28401",6310238.41485596
"40713",18354721.8038025
"36677",4521534.30548096
"28396",1597472.16464233
"28397",2286917.63894653
"36673",3921644.7147522
"28391",692562.768737793
"3865",11564729.3027954
"28392",710837.688690186
"28393",1452892.07595825
"36668",2184729.14071655
"53000",42803716.3243408
"28394",1780683.31481934
"3860",18611057.4747925
"32490",6961923.24734497
"3856",16722854.6634827
"40766",7704813.23895264
"7948",16749736.3267517
"28427",29635527.4441528
"12096",20011349.4797974
"41318",28719617.0448914
"24387",11264135.6890564
"24383",6619192.67602539
"12089",1110456.59361267
"12090",12509401.6363678
"16184",93318102.4382019
"24380",6929028.03897095
"24381",6334908.10284424
"65320",28407351.9665833
"37206",9767550.16912842
"45401",96069157.6232605
"37200",11107970.2504883
"78205",88323814.7121887
"16171",26865683.0159302
"24373",1096393.79071045
"24374",1576112.54391479
"28467",7161046.140625
"90497",60249939.9119568
"37192",8105883.62765503
"49483",43059227.5740662
"32558",80785595.2598572
"12632",41805598.3442688
"37239",18778600.6652832
"49542",48149540.4154968
"29026",37844639.8917847
"12625",23381216.78479
"24920",32588898.2310181
"37232",31932495.0882568
"29012",31707846.0814209
"8582",15790776.8742523
"61818",41884123.4812927
"29004",12278201.4205933
"20864",2866913.78765869
"33158",1579596.15899658
"37270",14299648.7680359
"33154",5784412.14874268
"49555",30485217.5660706
"106971",9010683.03820801
"106967",1673214.85238647
"8609",65219451.211853
"106964",2178786.04171753
"106965",1414009.20645142
"106966",1742736.59619141
"74158",114086415.361359
"45507",3172071.08285522
"41407",13819328.2879944
"70115",16766935.7200928
"45509",7197967.31878662
"8602",25059163.2452087
"24991",7556705.7114563
"98739",97529615.1923523
"37304",41963449.4732666
"24993",24494375.9287415
"29094",189382243.586395
"106958",10173817.8190613
"29088",198325916.164185
"41401",23554944.3118896
"45502",20911598.9590759
"86440",106271933.918701
"24990",12157104.1705933
"33186",13068033.5371704
"37298",61327313.6634827
"20882",21193739.9366455
"29076",74498398.3580322
"45479",24920484.1749878
"29068",46366660.665741
"20931",27348475.7940979
"33170",4909549.09555054
"106997",30271316.4863892
"8638",27999784.8210449
"33165",4288436.97689819
"33160",2821159.81994629
"41437",7908393.9420166
"45538",12765172.6427612
"106983",27519238.5362549
"57823",52317245.0310669
"70132",109782105.708893
"45526",45564740.2964478
"4580",890748.881225586
"4582",3334463.71447754
"4577",1231370.3949585
"4578",1106107.85380554
"16868",26274436.3673401
"74216",5182795.84552002
"70181",21863224.8249207
"94710",64738169.7373352
"41469",20937599.0206299
"29158",3281237.75076294
"29151",1774937.77832031
"8656",28237459.7640991
"41465",20473165.1825256
"53761",42331855.2392578
"29147",905380.950897217
"41459",13959518.6473389
"16853",3092862.82830811
"29148",1071139.04910278
"29149",1592927.6762085
"29143",558204.351379395
"57851",11944940.5964355
"29144",1031890.92868042
"57852",49671227.9059448
"29146",1055204.19470215
"94755",27469812.945343
"29139",946305.296936035
"29140",774039.169830322
"29141",710145.329986572
"29142",1452185.52838135
"4608",12038477.7409058
"29136",260711.795806885
"29137",1564084.61218262
"29138",900061.382354736
"4605",14523105.1897888
"41508",31973374.9498596
"20995",112599214.338715
"57837",56172184.3275146
"29190",84693665.7606201
"53797",63909695.5083008
"33286",76770166.7152405
"66084",38660305.8604431
"29171",14391180.1365967
"49679",11971379.7430115
"45582",71095799.987854
"4636",14878441.6347046
"4637",8776358.92428589
"16932",46715016.8951111
"37446",12000324.2359924
"4631",29861591.4184265
"29165",11776568.0988464
"66068",38752079.64505
"53774",36984227.454895
"25124",847773.948364258
"25125",814660.156005859
"25126",2310834.0718689
"41532",23315345.1112671
"37423",3484029.16552734
"37425",4638852.87185669
"41526",5594341.43579102
"53822",21553612.0692749
"37419",1971550.7171936
"41520",6598811.12249756
"37421",1666315.94924927
"41522",3886600.0715332
"53810",88993363.6169128
"36959",10681656.7989502
"41061",18242552.0346375
"57906",216163886.338074
"36953",12023890.5137634
"29247",8508235.56246948
"90183",100147171.120483
"57440",9447993.29153442
"49241",34284522.7537231
"25141",10354086.9820251
"25136",7804783.90014648
"12842",12455348.1014252
"25138",6925749.76992798
"25132",4488405.22622681
"77942",125298194.929962
"36996",18719007.3319702
"12383",38707931.091156
"49229",29895493.1848755
"25129",2042735.33627319
"25130",2062631.69506836
"53381",129549782.425903
"65607",58536971.7227478
"77981",21290540.1069336
"45168",6333403.38650513
"28751",15778699.7746887
"28753",3897448.40899658
"28754",12358279.4977112
"45208",25343832.3612976
"98450",114918760.683868
"45203",16254425.7723083
"57495",27596324.4338074
"28788",25961149.1051636
"45200",6495320.39187622
"36999",5788493.46932983
"61597",20000375.4549866
"106717",2016153.46157837
"106718",1837999.62481689
"37001",6411853.90994263
"61591",36979689.8515015
"106712",5719122.50817871
"41157",8403263.60366821
"24739",41365202.6897583
"45254",9968870.58065796
"8342",31813287.9460144
"24732",47175239.4224854
"41145",14960007.4663696
"24734",34184295.7601624
"12431",16383625.6277466
"32929",11592020.8268738
"98475",17430424.3044128
"20628",22368988.4158325
"28823",39059202.1531067
"32924",8325640.75976562
"45237",18104989.1776123
"32926",9639996.64315796
"53427",19431626.4493713
"32922",5486560.63763428
"82135",74432726.9533081
"94431",83608021.5012512
"53429",15621855.603363
"20621",14992790.6390686
"32916",5786309.39468384
"57523",119610900.079834
"20616",6994036.13275146
"32912",3939746.22097778
"28812",56195697.1442261
"106741",12231188.0434265
"32907",1821118.27810669
"41183",4475097.33004761
"20671",21707111.0692444
"24774",25268699.3479614
"32905",5651687.69067383
"45265",8236351.85025024
"20651",47779439.2248535
"45266",11325459.1985779
"82168",15832505.8895874
"57555",93870156.4024048
"82169",45462207.7497864
"45261",9922775.71655273
"45256",1597495.27404785
"45258",1750723.91589355
"61654",111081924.088257
"16604",7241711.03466797
"28899",1495310.63650513
"28900",1233487.42300415
"28901",2284568.18304443
"28902",4386687.43664551
"28895",988617.025299072
"16601",3046669.3661499
"28896",814960.217651367
"28897",1455618.71505737
"28891",947604.949005127
"28892",838359.134887695
"28893",1645363.86288452
"28894",1054663.93252563
"28887",867279.104003906
"28888",1207808.03164673
"41200",20810448.0894165
"28889",928502.026306152
"57597",22796805.1001587
"28890",1303327.81167603
"28886",948913.354705811
"4354",14651982.1166382
"4348",14250049.3970947
"24781",41120681.136261
"20682",24086200.1561279
"24775",23980945.3417664
"32977",27217646.881134
"32978",14349622.554657
"4345",20276907.4828186
"24837",404422469.966736
"4341",20673847.4545288
"65774",28119868.986969
"57631",13410866.6971741
"4328",1095941.85429382
"4329",1181218.29708862
"16625",40266373.5088501
"57628",10242639.8539734
"82237",67473588.5906372
"28912",9747163.80966187
"57615",52924575.4608154
"37179",4142044.39266968
"28905",7318538.74752808
"57613",56060138.8055115
"4372",21426559.4716797
"37182",7147827.46954346
"16670",25079882.2079773
"37176",4701629.32949829
"41277",10865811.8363647
"49472",37601355.4744263
"103242",61734530.5259094
"37178",2878548.49816895
"28960",49534941.3485413
"37172",5620590.20471191
"37167",900036.864013672
"37168",2656610.93429565
"37169",2145858.06808472
"41270",4737975.27111816
"41265",9600001.77572632
"41262",11805650.8884277
"86873",5440655.03012085
"45919",24777404.1266479
"24895",10834329.824707
"12601",24812999.7280273
"65838",54919147.6410217
"37711",5791777.12069702
"37710",5963431.21395874
"24879",3894994.26477051
"24880",3945550.89434814
"24877",2982364.89926147
"24874",2052695.6913147
"86895",223124854.481476
"28969",40038404.799408
"13150",62824455.909668
"50053",22095320.2798462
"37754",8094276.56237793
"45948",8136021.90209961
"107460",4789014.24090576
"29533",31430884.4894714
"17232",85336168.794342
"25427",18875197.9814148
"13183",28346138.1316528
"41893",24706156.6418152
"74638",35534455.9666443
"78733",18292833.2277222
"21377",20385565.077179
"13175",60111272.2939148
"21373",11807267.1689148
"33669",5637997.11022949
"33664",4637436.95803833
"107491",7350786.10794067
"33666",5871322.62686157
"33659",1440092.68765259
"33662",2763064.19564819
"33656",4338012.36657715
"29556",45622937.3885498
"74677",24334155.2131348
"74678",48394136.9347229
"13222",69848139.3853149
"58251",37071095.8450317
"21407",26971283.1363831
"99256",50911926.1207275
"107468",5329103.30288696
"70619",18530572.231842
"107465",1926598.96270752
"74721",2067114.7131958
"107466",4402865.60400391
"46008",12469602.3766785
"50103",96064103.4827271
"74711",36137849.2381897
"41904",9454801.79119873
"33694",26648417.0638733
"41905",7008458.96984863
"21392",37828065.7158508
"33675",6889016.66317749
"41958",19569153.3387451
"46052",80360782.1973572
"70659",140858160.602386
"82892",69418913.1101685
"33673",3651779.84658813
"9140",31558591.6828003
"29638",478548.201385498
"46041",12989295.2957153
"41941",10625516.9625549
"21428",39973561.0350037
"33724",63799715.621521
"46036",28295155.7893066
"41936",7215691.9765625
"54234",45839787.6558533
"37891",42180259.8338318
"5084",5436368.54125977
"37893",3451581.84057617
"37894",1120456.63577271
"41990",35361315.0726013
"5081",2679916.40383911
"50180",5700309.53479004
"5078",2915256.457901
"103431",25196371.6716614
"17367",22783032.1773071
"29670",14804945.3950806
"29663",9186933.92001343
"78881",77321965.5900574
"46074",101366196.359375
"37874",73669125.71521
"17355",5970118.78411865
"17358",16804224.3979492
"29654",1900040.27282715
"29648",1697172.65759277
"29649",1480191.00579834
"21448",36860400.9066467
"29650",2396741.58798218
"29643",890283.868377686
"37926",4121701.73931885
"29644",1501928.52090454
"29645",1118409.64044189
"29639",735662.014862061
"29640",1044805.46365356
"29641",987924.616088867
"33742",25107913.1196899
"29642",906930.348480225
"82951",145026818.562286
"70715",56563827.0662842
"66538",356113955.982269
"78909",38999865.7833862
"102999",58824333.5313721
"91200",57704050.0946045
"5153",10513394.671936
"78896",38772008.2244873
"37952",5786626.35873413
"54284",33075198.6645203
"66575",19184121.1954041
"54281",20600219.1042786
"37943",8514685.02194214
"46145",183022249.862915
