HOME_TOWER_ID,CALL_COUNT,AVG_CALL_DURATION,NIGHTTIME_CALL_COUNT,AVG_NIGHTTIME_CALL_DURATION,INCOMING_CALL_COUNT,AVG_INCOMING_CALL_DURATION,RADIUS_OF_GYRATION,UNIQUE_TOWER_COUNT,SPATIAL_ENTROPY,AVG_CALL_COUNT_PER_CONTACT,AVG_CALL_DURATION_PER_CONTACT,CONTACT_COUNT,SOCIAL_ENTROPY
12842,2317.677378300986,105.36949092220915,159.47597836461978,151.89870730151375,1095.4390709513204,106.9071843721951,21.462655449952678,49.867006045179764,0.3352608539386138,13.047872011204054,1514.5993491851737,161.27076041998092,0.5920885812691747
4852,1765.3102608695651,111.2983719563598,131.19304347826088,149.62068837132097,850.0897391304347,113.46701499726194,19.9939346039749,40.431652173913044,0.3715756434332621,12.320615503912824,1505.3828213688194,130.7808695652174,0.5905066092837002
30242,2341.6450101317123,106.28212948623191,119.72125126646404,157.95436116950597,1078.324848024316,105.76197557937616,22.21105829056349,44.75405268490375,0.4444124930054312,12.027787857470573,1404.9771476990265,163.17312563323202,0.6007421362722509
23379,2873.9436142244363,91.10036263159981,239.2460910474609,122.14780556484503,1361.0366680503666,91.99907039885488,16.82135411589023,72.06572575065725,0.38131429992983396,13.469796975475493,1320.4772311979348,201.09568285595682,0.6203948827059639
50494,1678.0997348562105,101.81862726090567,122.51172751376708,128.90571554953237,810.9029165816847,103.77773958755554,16.291292871462296,35.739343259229045,0.3290139161118802,11.291883915284705,1280.6886436953334,137.995105037732,0.6169990727472545
23427,2089.687607998025,104.7526469696423,125.57504319921007,138.1869482054295,969.9540854110096,105.20022666621679,14.974929075852096,40.22179708713898,0.42453518884857594,12.936577513578785,1498.6158765672699,153.5429523574426,0.6052288508989592
29710,1573.0649844452125,117.54279376647374,94.02315935015555,161.3456886455875,755.598686484618,119.49211020272706,16.820396812981414,31.901832008295887,0.30617634906831226,12.419324686401746,1640.3035575833926,117.67646042170757,0.5745458602300789
36420,586.9938448667384,88.78475555518875,95.05031672044939,92.03854753343408,261.802856459902,85.30987335686365,30.462876478871866,22.645571889566153,0.5481993327843732,5.522681654114578,520.2558635988628,44.61138998446277,0.5987253020952938
46508,1990.7810628742516,117.99615297791199,116.31511976047904,165.64580379774358,928.0198353293413,119.04605225801683,18.881173532010582,55.05127245508982,0.3735463217698031,11.90010009942486,1634.1401179183408,159.18413173652695,0.6028413718906843
87460,2384.5349162011175,120.84897850364005,170.0391061452514,174.79773155767103,1162.4706703910615,117.02333359800966,40.79190280070696,38.08659217877095,0.4346139695364269,11.805515411414586,1414.7769188539432,173.72346368715083,0.6071489788902699
108220,2424.219589257504,111.91915465161797,151.32322274881517,158.8372150974308,1222.1538704581358,115.0528796158954,26.708669199312272,39.997156398104266,0.44537920699285816,14.207262174572051,1720.7756986334207,156.11437598736177,0.611286259153887
26127,2351.9893095768375,118.52225511130176,184.61692650334075,176.43668591584802,1092.0824053452116,117.13254161531633,20.068125523385945,72.313140311804,0.40259890175324325,12.610824984395064,1585.5203391852974,172.48685968819598,0.5920922994014979
75386,1624.3348982785603,116.1915799315103,108.74021909233177,156.071930838716,770.1517996870109,114.51904950589206,27.61127533539041,33.87245696400626,0.4287863937311569,12.28783066749645,1559.013902218549,120.97887323943662,0.5949952807624058
14936,1653.742356115108,124.61618620481477,130.7216726618705,162.34976613400897,769.3543165467626,126.2701495684361,24.582166168649408,39.802158273381295,0.3791570375376641,11.532800611605632,1662.978192580942,134.0625,0.5831022191989323
84221,924.3677991137371,133.99961599694132,82.794682422452,172.06084867929826,424.17429837518466,130.52906367731708,38.30724359199664,26.37370753323486,0.4527523640810093,8.985051197424722,1404.7174447890818,86.01772525849336,0.5964409063856274
40532,584.6590909090909,123.67281102330197,34.27272727272727,142.13590521126915,280.70454545454544,120.44907437607525,16.695619759525417,22.795454545454547,0.5103036840562418,13.011582242318298,1476.9725620207953,52.06818181818182,0.5710933343732884
10837,2316.8273684210526,96.21149030584404,167.46105263157895,149.91669926615907,1141.1073684210526,93.70803478476958,25.1523858115623,66.33052631578947,0.44849761797530496,12.307779721254391,1350.506801572581,173.46526315789473,0.623862931864771
8918,1278.1521739130435,126.00225556607784,100.57636566332218,165.25974366266686,614.5942028985507,126.84752568590535,20.682935452680592,34.33389074693422,0.43282840331224254,11.043991639415935,1676.1463779562373,109.25139353400223,0.5972735362455319
32742,2191.631691648822,103.84680761782683,112.00942184154175,145.83269326843458,1051.4728051391862,105.48571840623785,16.625085341314048,43.0813704496788,0.4199401648431496,13.483718120511968,1572.5768712813297,154.9845824411135,0.5935294893449959
57555,1635.6328476344665,109.25203096742456,111.30329195898543,138.9654324457499,792.630868861306,113.50720283234021,21.267839200187847,35.40420939017809,0.2991275205844995,11.407978204355903,1417.9352336823024,137.37578701205254,0.6092593842216335
35237,1180.8605182926829,103.22559918185217,59.44283536585366,134.1880248152665,559.0373475609756,102.33030347128783,15.160032551888735,36.58612804878049,0.42345224955112837,11.650280825850558,1363.204753432094,99.98704268292683,0.594328227006288
44578,1442.9717544812602,125.68119032878687,102.41173275393808,170.70086641718194,696.8859315589353,128.11408138495062,23.112681601236776,31.674090168386748,0.4164306790719078,14.565076693312042,1828.3070936098889,114.94948397609994,0.5765518391622273
23125,2514.675,103.06763480600208,172.3775641025641,145.9533645508584,1208.427564102564,105.00050464812782,16.71256553231808,68.9548076923077,0.4107767092872413,13.50258956284409,1543.122725019621,179.06057692307692,0.607318973835068
41520,2593.485124468731,111.1736364604094,202.4738919247116,167.18175593427813,1256.7911353976929,115.10699822013507,14.296026968894498,45.33819064966606,0.36456615143593746,13.876769670813497,1915.743201108345,175.93199757134184,0.6009290676644375
51681,3054.979061371841,123.72563297853964,214.0187725631769,202.4128872971865,1436.74440433213,118.93814262675544,43.793991327769405,56.96606498194946,0.42168698287787865,13.360086744664923,1783.224901537114,203.76462093862816,0.6046661770774526
40286,1397.9055244195356,121.97063902422278,92.25780624499599,169.8235782285949,673.1184947958367,123.96841848931214,17.356789781497554,37.0080064051241,0.3551924018236679,12.607403767756102,1824.5982391083173,107.1529223378703,0.5671286194289126
70115,1825.3498858447488,141.58882218281656,189.4035388127854,198.65381236690897,777.8036529680365,129.51618483753774,50.415917086638046,55.74600456621005,0.4301669366874156,9.838259597348793,1540.0761881748492,163.2214611872146,0.5552922017770535
