gnd_id,PC1
1103005,-10.88657977668784
1103010,-24.826838501868924
1103015,-17.87035169231855
1103020,-13.629260636903046
1103025,-12.807454973305434
1103030,-13.840382529768958
1103035,-13.768087330749855
1103040,-20.44780557176065
1103045,-13.363248957496932
1103050,-14.166318413722689
1103055,-13.457781041788662
1103060,-14.116238674069045
1103065,-14.865065439750511
1103070,-16.98555790266228
1103075,-16.497316988734465
1103080,-14.426590031342014
1103085,-11.383845542068437
1103090,-15.938805558031676
1103095,-15.423982221557393
1103100,-15.869117526304503
1103105,-14.064970826970429
1103110,-13.488575670078063
1103115,-14.788330548276164
1103120,-8.935597924291697
1103125,-5.091119831357886
1103130,-6.577814501580213
1103135,-9.661913407999867
1103140,-10.27029715673583
1103145,-12.343185428758366
1103150,-13.164415985780616
1103155,-12.110655906395307
1103160,-11.764253258822539
1103165,-10.628396326759825
1103170,-15.099928391575602
1103175,-7.890639938049918
1106005,-12.004631681735336
1106010,-12.325422813032972
1106015,-7.541298143991811
1106020,-8.63695561079692
1106025,-8.89874111423982
1106030,-12.659886285762894
1106035,-13.502702601377269
1106040,-10.11254732470168
1106045,-11.852226490284744
1106050,-10.23362756604304
1106055,-8.192953671592331
1106060,-9.237865856982168
1106065,-7.376197127436379
1106070,-6.55207267735058
1106075,-6.667050853352734
1106080,-8.826962779686928
1106085,-9.194716353348834
1106090,-9.736555410115898
1106095,-10.291125909174863
1106100,-10.307616784239647
1106105,-10.217611153547542
1106110,-10.034261283637674
1106115,-11.495258771958417
1106120,-10.806739686182638
1106125,-11.547148767605172
1106130,-9.34463668279164
1106135,-9.968361128843092
1106140,-8.714390558601158
1106145,-8.623051171265347
1106150,-8.0994318859587
1106155,-7.410190858810757
1106160,-6.927298432856826
1106165,-7.844604998299316
1106170,-8.094344175965276
1106175,-8.798142139786842
1106180,-9.489471090124722
1106185,-10.072203006911293
1106190,-9.520358601007894
1106195,-9.287891901958513
1106200,-8.069490571378665
1106205,-9.913179350900927
1106210,-9.582848896547592
1106215,-10.177626328241425
1106220,-8.575961305082478
1106225,-8.41599833652144
1106230,-8.936567199811892
1109005,-6.769422518293767
1109010,-7.21909019449212
1109015,-7.742453942638787
1109020,-6.2323073225272365
1109025,-4.056414251369383
1109030,-4.510790021940329
1109035,-4.428357825412175
1109040,-4.173028708433778
1109045,-4.906001072530545
1109050,-4.298891850832021
1109055,-8.286097458368994
1109060,-4.370862106876187
1109065,-8.199625299061596
1109070,-7.822289179844942
1109075,-5.583738089174003
1109080,-6.189317101562321
1109085,-4.007604554604824
1109090,-2.324267963490395
1109095,-3.830239138124076
1109100,-2.697067120298304
1109105,0.023352513688542683
1109110,-0.3893851290173091
1109115,-6.492257976742762
1109120,-6.558663858551626
1109125,-7.0790203927812145
1109130,-8.827912642378447
1109135,-8.853522466154288
1109140,-8.403811332186327
1109145,-9.324567620618204
1109150,-12.898748808205465
1109155,-13.993217000283087
1109160,-9.15052684233594
1109165,-7.8507709921563515
1109170,-8.63476468598532
1109175,-9.173048554642946
1109180,-10.227429205431049
1109185,-11.093637455993125
1109190,-8.53380987013522
1109195,-7.958678992756064
1109200,-5.582011792334918
1109205,-6.075620880340132
1109210,-5.047786407718702
1109215,-5.292666353447306
1109220,-6.390169267654721
1109225,-8.021667060175854
1109230,-6.7450265957542435
1109235,-10.374658947295176
1109240,-8.687191738853752
1109245,-8.969216498571402
1109250,-9.686924024282556
1109255,-8.57659408402053
1109260,-7.754104020224745
1109265,-8.08424644888515
1109270,-9.256094794823293
1109275,-8.282799984908662
1109280,-8.294038969283818
1109285,-5.8243691540995695
1112005,-4.979365005290385
1112010,-3.0747681978578014
1112015,-2.9693280364093253
1112020,-2.6929635371866047
1112025,-2.5187258627289006
1112030,0.4992278377348783
1112035,-3.334687569100558
1112040,-3.7012610941134225
1112045,-4.0110022995926755
1112050,-3.3134568874513275
1112055,-4.586480873108872
1112060,-4.171727060412866
1112065,-4.094695611667126
1112070,-5.562790458676076
1112075,-3.6775898727064464
1112080,-4.416856462096294
1112085,-3.5400663187831762
1112090,-3.9374340510301815
1112095,-4.288305220103275
1112100,-3.954468523919848
1112105,-4.470917524248702
1112110,-5.0841256748248025
1112115,-4.196010241597519
1112120,-2.542303253098295
1112125,-1.774709573845578
1112130,-5.396445629040347
1112135,-6.444776066576407
1112140,-5.856382284760055
1112145,-4.571155532595516
1112150,-4.777258368444434
1112155,-4.533632456849893
1112160,-3.7129562314564017
1112165,-5.058431044748611
1112170,-4.039360325664648
1112175,-3.715989037118402
1112180,-4.474271640170543
1112185,-4.225651330211896
1112190,-5.9798969074965225
1112195,-6.977712658782829
1112200,-5.209166824803555
1112205,-6.413140407595573
1112210,-6.453888727154906
