"gnd_id","fit","trend","signal"
"8124120",-0.810797637119049,-0.809324772330246,-0.00147286478881192
"2121215",-2.96863310177917,-2.88502640511977,-0.083606696659419
"2121210",-2.66473706766387,-2.21332866478,-0.451408402883877
"2121200",-1.82845729172695,-1.82845729172695,0
"2121195",-1.65261123727078,-1.41383165796109,-0.238779579309699
"2121190",-3.35930465568383,-3.12915102889975,-0.230153626784081
"2121185",-2.67974306784974,-2.81502211376376,0.135279045914018
"2121180",-2.01777056723706,-2.01777056723706,0
"2121205",-3.44714860100025,-2.54153694351762,-0.905611657482638
"2121220",-1.38051061611385,-1.26716030306482,-0.11335031304904
"2121170",-0.47697448462622,-0.814508770361951,0.337534285735728
"2121175",-1.71810279699766,-1.48815048586668,-0.229952311130991
"2121165",-1.9316811205996,-1.81123963583319,-0.120441484766407
"2121140",-0.211878508853173,-0.124248005974942,-0.0876305028782381
"2121160",-2.19186760907529,-2.62624746319852,0.434379854123225
"2121145",-1.050622246063,-0.985431435609628,-0.0651908104533736
"2121155",-2.09216892449398,-2.25656182578686,0.164392901292877
"2121125",-1.22711684401506,-1.11187723917183,-0.115239604843237
"2121150",-1.01508965346042,-1.01508965346042,0
"2121120",-2.57313086865711,-2.5037984310084,-0.0693324376487138
"2121135",-1.23562609283028,-1.12262989057971,-0.112996202250572
"2121040",-2.96592218356609,-2.74289190768984,-0.22303027587626
"2121060",-2.09895642485539,-2.08540788240206,-0.0135485424533435
"2121070",-1.39587672237789,-1.48320245383182,0.0873257314539223
"2121110",-1.81822287490384,-1.81822287490384,0
"2121055",-3.55654675832453,-3.24683925702961,-0.309707501294921
"2121095",-3.03865753880663,-3.03865753880663,0
"2121005",-3.72764298914642,-3.49967497418193,-0.227968014964553
"2121050",-4.99940999488979,-4.82334235512352,-0.176067639766271
"2121010",-3.13564266016028,-3.15161364635176,0.0159709861914117
"2121045",-4.35558293655537,-4.0159027446208,-0.339680191934585
"2121080",-2.21452357699237,-1.96277378473968,-0.251749792252704
"2121035",-2.08537179074375,-1.76913682304535,-0.316234967698404
"2121030",-0.854837959943916,-0.50868205473933,-0.346155905204627
"2121015",-0.266073738258254,0.120760261463459,-0.386833999721786
"2121025",-1.77913872749335,-1.04771153572537,-0.731427191768002
"2121020",-1.05306481123984,-0.305336267618307,-0.747728543621596
"2121235",-3.85921003935822,-3.67738311380212,-0.181826925556105
"2121075",-2.0035332232286,-1.97253844280416,-0.0309947804244505
"2121065",-2.01536281855955,-2.04570893247419,0.0303461139146309
"2121090",-1.74424369198243,-1.46183445554383,-0.282409236438614
"2121085",-2.25033956737534,-2.21473437688238,-0.0356051904929687
"2121230",-1.11984941151297,-1.33800970893161,0.218160297418633
"2121225",-1.18023600271334,-1.24881718077674,0.0685811780633897
"2139335",-0.446584462349753,-0.622540713931688,0.175956251581927
"2139500",0.371985323841798,0.228608840316059,0.143376483525732
"2139520",1.01360633421551,1.01360633421551,0
"2139525",0.630945892162122,0.732980291463805,-0.102034399301685
"2139475",1.15454399527826,1.15454399527826,0
"2139485",1.18268952660305,1.519155324642,-0.336465798038961
"2139465",2.78295911953433,2.84023487040265,-0.0572757508683301
"2139460",3.87399514538068,3.57089657800393,0.303098567376748
"2139380",3.73089411765404,3.48540667924538,0.245487438408656
"2139555",4.22068567653505,3.92206435604294,0.298621320492122
"2139425",4.84270649721391,4.49232005898449,0.350386438229428
"2139440",3.63837423440403,3.53142664455095,0.106947589853085
"2139390",3.73537508156515,3.54194210116002,0.193432980405119
"2139265",3.61535132107614,3.57227108433852,0.0430802367376287
"2139275",4.42878336788432,4.289952529943,0.138830837941333
"2139295",5.20581719496765,5.20581719496765,0
"2139290",4.30865042819172,4.26375136196045,0.0448990662312686
"2139285",3.65558695738092,3.47511523838283,0.180471718998091
"2139120",3.44396985643252,3.44396985643252,0
"2139175",3.240927030459,3.240927030459,0
"2139110",3.851504859537,3.71813784618873,0.133367013348274
"2139180",3.72322709548562,3.72322709548562,0
"2139260",3.37771578600763,3.39427065324478,-0.0165548672371384
"2139210",0.707676837335794,0.815418879373473,-0.107742042037685
"2139195",1.81611823554265,1.81611823554265,0
"2139255",2.98775152582813,2.90702045213342,0.0807310736947167
"2139320",2.99534365669116,2.74045213934149,0.254891517349671
"2139375",2.19554297235436,2.69156018258622,-0.49601721023186
"2139370",0.981893543845193,0.981893543845193,0
"2139105",4.06908926512936,4.03791631347121,0.0311729516581656
"2139240",0.288845650743779,0.0155296569399225,0.273315993803851
"2139245",-0.164612497051177,-0.0761497322386084,-0.0884627648125708
"2139235",0.476377762962015,0.281615949593483,0.194761813368529
"2139205",1.34195172904524,1.18280320406953,0.159148524975705
"2139200",0.807507184682343,0.807507184682343,0
"2139455",2.74293139763624,2.74293139763624,0
"2139470",2.11843646621041,2.25547860089195,-0.13704213468154
"2139450",3.32877706148058,3.12216138422673,0.206615677253859
"2139585",2.71436780001076,2.71436780001076,0
"2139480",0.580279008546058,0.580279008546058,0
"2139145",5.62303781153726,5.62303781153726,0
"2139420",4.55544962754993,4.3948292806363,0.160620346913635
"2139410",4.76964957168077,4.35964181981418,0.410007751866588
"2139215",1.26710170435642,1.26710170435642,0
"2139075",1.09747945903652,0.955353365098879,0.142126093937641
"2139080",1.32702547473442,1.66609829363458,-0.33907281890016
"2139045",2.5279411543521,2.63139109690037,-0.103449942548262
"2139085",2.23571623966386,1.75358935821849,0.482126881445376
"2139040",2.82511047342629,3.17308263801156,-0.347972164585259
"2139035",4.14421587184368,4.35853478500091,-0.214318913157226
"2139090",2.17692867052589,2.17692867052589,0
