gnd_id,population_density
"8124120",255.506454467773
"2121215",283.60307820638
"2121210",197.595703125
"2121200",292.387634277344
"2121195",301.265879313151
"2121190",113.208744395863
"2121185",114.556615556989
"2121180",232.105810546875
"2121205",178.976710232821
"2121220",328.820190429688
"2121170",381.599482218424
"2121175",269.456502278646
"2121165",375.195701599121
"2121140",561.247283935547
"2121160",90.5485377104386
"2121145",420.937805175781
"2121155",388.756815592448
"2121125",738.745882350433
"2121150",815.938140869141
"2121120",353.19006729126
"2121135",387.632712227958
"2121040",330.544677734375
"2121060",519.072845458984
"2121070",568.56884765625
"2121110",305.269476318359
"2121055",120.840682983398
"2121095",178.422975158691
"2121005",12.0495402596214
"2121050",14.3432706594467
"2121010",28.5074760913849
"2121045",59.0186450664814
"2121080",232.425257364909
"2121035",421.26264444987
"2121030",525.83457438151
"2121015",404.12294514974
"2121025",340.602512904576
"2121020",233.894897460938
"2121235",94.6801772117615
"2121075",258.113471137153
"2121065",406.615130615234
"2121090",468.584899902344
"2121085",356.723556518555
"2121230",363.366264343262
"2121225",283.235530853271
"2139335",700.02571105957
"2139500",1703.17206350635
"2139520",2066.197776393
"2139525",1394.62933375384
"2139475",1988.04636181058
"2139485",2175.98548599982
"2139465",4096.26446571828
"2139460",4419.19970703125
"2139380",3219.14485841305
"2139555",2780.96021020236
"2139425",2667.51615748231
"2139440",2810.10960318619
"2139390",2384.70165084692
"2139265",1957.10750279166
"2139275",2201.02667694551
"2139295",2563.98956011142
"2139290",2445.98434665902
"2139285",1991.97289516915
"2139120",1823.64788392672
"2139175",1792.42563704917
"2139110",2195.70102406957
"2139180",1908.57516828077
"2139260",1927.65743150806
"2139210",1089.26528826401
"2139195",1168.07573068131
"2139255",1683.1994946714
"2139320",1817.64723549838
"2139375",2071.69746713472
"2139370",1208.40112304688
"2139105",2368.54057593169
"2139240",724.631072998047
"2139245",631.988137335989
"2139235",769.459472212854
"2139205",970.637473536568
"2139200",1088.58555738769
"2139455",4254.4731933616
"2139470",2728.31035384363
"2139450",2445.48789458002
"2139585",2109.74187890283
"2139480",1574.39441681616
"2139145",2429.19037399165
"2139420",2343.36037531008
"2139410",2382.86129416356
"2139215",1415.18385928824
"2139075",1419.48833684298
"2139080",1529.47494916345
"2139045",1963.9215548426
"2139085",1131.06983632718
"2139040",2190.50060489957
"2139035",1985.5893025895
"2139090",1203.08459472656
"2139010",2424.84911166457
"2139030",1821.01762916483
"2139005",2013.01395176196
"2139015",2532.68213881281
"2139025",1891.49239139433
"2139020",2162.71913008903
"2139115",1903.56051341337
"2139125",2321.04550234534
"2139135",2776.56323224842
"2139165",2014.61450673513
"2139160",2303.10684599166
"2139130",2637.27513883992
"2139140",2707.90576171875
"2139150",2382.88393525689
"2139100",1897.8865562109
"2139270",1425.99162732156
"2139170",1528.42000733068
"2139360",1624.1234702913
"2139365",1745.7836129943
"2139330",552.330169677734
"2139325",939.274529122237
"2139315",2352.64719263945
"2139385",2768.58921271112
"2139310",2213.53944835327
"2139305",1866.70619623887
"2139400",3202.45376362907
"2139280",1929.62154457533
"2139300",1674.49279785156
"2139515",2260.66886521971
"2139615",1879.16934866507
"2139600",1570.18561760085
"2139605",1042.56356163305
"2139595",1721.87035144762
"2139530",1594.98244041477
"2139590",2029.20011843855
"2139535",1834.92501089765
"2139575",1705.96267988535
"2139570",1690.61841565656
"2139550",2711.716796875
"2139435",2888.55801739227
"2139565",1931.48965145231
"2139560",2334.28890125754
"2139545",2676.34007109473
"2139355",1828.62483652435
"2139345",1558.40388138178
"2139395",2763.54531024828
"2139405",2046.6598703381
"2139350",1119.6712771721
"2139095",1541.40512073912
"2139190",1803.96769455831
"2139185",1675.98833429042
"2139495",2194.07043457031
"2139490",2161.75678529939
"2139415",2063.12967431911
"2139540",2104.74260720773
"2139445",2669.49506704889
"2134150",583.420542441722
"2134130",325.268951416016
"2134195",679.395409020168
"2134080",330.20246887207
"2134090",725.717590332031
"2134190",855.584776083374
"2134185",1021.45693214543
"2134215",870.6024522211
"2134225",1019.61836553131
"2134175",652.330756024115
"2134230",510.239145914714
"2134240",503.481742342557
"2134085",546.227091459612
"2134170",752.049200728377
"2134245",277.704345703125
"2134165",584.578144520382
"2134255",288.545875549316
"2134270",555.11083984375
"2134160",535.582107543945
"2134125",513.994964599609
"2134120",433.627387658942
"2134040",563.157308739471
"2134030",607.186340332031
"2134015",525.314697265625
"2134025",577.177425335937
"2134095",866.315864573692
"2134100",652.124877929688
"2134105",658.558899588517
"2134050",478.547164604112
"2134045",550.131558765637
"2134115",606.545181673119
"2134110",484.015360357411
"2134010",475.5079692982
"2134285",587.960414514605
"2134275",503.416199785611
"2134280",452.104690551758
"2134155",479.662650076673
"2134180",826.611044195919
"2134260",710.890264728635
"2134250",435.637738907923
"2134035",480.821919759115
"2121100",602.588287353516
"2106335",1607.74055261305
"2106300",1410.0236691705
"2106235",1273.56010941107
"2106200",799.681540778313
"2106055",1233.60105168818
"2106240",1074.06200225261
"2106165",998.571899414062
"2106195",1071.59590648479
"2106190",1007.36984606319
