gnd_id,urban_rural_ciesin
"8124120",0
"2121215",0
"2121210",0
"2121200",0
"2121195",0
"2121190",0
"2121185",0
"2121180",0
"2121205",0
"2121220",0
"2121170",0
"2121175",0
"2121165",0
"2121140",0
"2121160",0
"2121145",0
"2121155",0
"2121125",0
"2121150",0
"2121120",0
"2121135",0
"2121040",0
"2121060",0
"2121070",0
"2121110",0
"2121055",0
"2121095",0
"2121005",0
"2121050",0
"2121010",0
"2121045",0
"2121080",0
"2121035",0
"2121030",0
"2121015",0
"2121025",0
"2121020",0
"2121235",0
"2121075",0
"2121065",0
"2121090",0
"2121085",0
"2121230",0
"2121225",0
"2139335",0
"2139500",0
"2139520",0
"2139525",0
"2139475",0
"2139485",0
"2139465",0.0987927643506517
"2139460",0
"2139380",0.810158661906785
"2139555",1
"2139425",1
"2139440",1
"2139390",1
"2139265",1
"2139275",1
"2139295",1
"2139290",1
"2139285",1
"2139120",1
"2139175",1
"2139110",1
"2139180",1
"2139260",1
"2139210",0
"2139195",0.00339168761133681
"2139255",0.444127382094287
"2139320",0.428565401973983
"2139375",0.457285089449116
"2139370",0
"2139105",1
"2139240",0
"2139245",0
"2139235",0
"2139205",0
"2139200",0.014270301486429
"2139455",0.00177336622698486
"2139470",0
"2139450",0.725537716931525
"2139585",1
"2139480",0
"2139145",1
"2139420",1
"2139410",1
"2139215",0
"2139075",0
"2139080",0
"2139045",0.633264919935595
"2139085",0.16589527828663
"2139040",0.889910687263639
"2139035",1
"2139090",0.624520891519603
"2139010",1
"2139030",1
"2139005",1
"2139015",1
"2139025",1
"2139020",1
"2139115",1
"2139125",1
"2139135",1
"2139165",1
"2139160",1
"2139130",1
"2139140",1
"2139150",1
"2139100",0.929835667652555
"2139270",1
"2139170",1
"2139360",0
"2139365",0
"2139330",0
"2139325",0
"2139315",1
"2139385",0.905148674896545
"2139310",1
"2139305",1
"2139400",1
"2139280",1
"2139300",1
"2139515",0
"2139615",0
"2139600",0
"2139605",0
"2139595",0
"2139530",0.0343200662175287
"2139590",0.894373165265366
"2139535",0.397114547472698
"2139575",1
"2139570",1
"2139550",1
"2139435",1
"2139565",1
"2139560",1
"2139545",1
"2139355",0
"2139345",0
"2139395",1
"2139405",1
"2139350",0
"2139095",1
"2139190",0.964884007267655
"2139185",0.797995988147808
"2139495",0
"2139490",0
"2139415",1
"2139540",1
"2139445",0.891341855326549
"2134150",0
"2134130",0
"2134195",0
"2134080",0
"2134090",0
"2134190",0
"2134185",0
"2134215",0
"2134225",0
"2134175",0
"2134230",0
"2134240",0
"2134085",0
"2134170",0
"2134245",0
"2134165",0
"2134255",0
"2134270",0
"2134160",0
"2134125",0
"2134120",0
"2134040",0
"2134030",0
"2134015",0
"2134025",0
"2134095",0
"2134100",0
"2134105",0
"2134050",0
"2134045",0
"2134115",0
"2134110",0
"2134010",0
"2134285",0
"2134275",0
"2134280",0
"2134155",0
"2134180",0
"2134260",0
"2134250",0
"2134035",0
"2121100",0
"2106335",0.998456364004095
"2106300",0.86311638275655
"2106235",0
"2106200",0.0121577955297472
"2106055",0
"2106240",0
"2106165",0
"2106195",0
"2106190",0
"2106175",0
"2106170",0
"2106140",0
"2106295",0.997736434183605
"2106090",0
"2106070",0
"2106160",0
"2106095",0
"2106135",0
"2106130",0
"2106185",0
"2106085",0
"2106155",0
"2106205",0.637984432685599
"2106290",1
"2106150",0.0993811799983212
"2106245",0
"2106250",0
"2106145",0
"2106270",0
"2106265",0
"2106305",1
"2106330",1
"2106310",1
"2106320",1
"2106325",1
"2106315",1
