gnd_id,precipitation
"8124120",140.75
"2121215",120.333333333333
"2121210",120.666666666667
"2121200",120.5
"2121195",121.666666666667
"2121190",116.818181818182
"2121185",118.571428571429
"2121180",116.6
"2121205",118
"2121220",121.5
"2121170",119
"2121175",115.5
"2121165",115.75
"2121140",121
"2121160",114.826086956522
"2121145",117
"2121155",116
"2121125",119.485998527276
"2121150",119.5
"2121120",114.75
"2121135",120.714285714286
"2121040",115
"2121060",116.5
"2121070",116.5
"2121110",119.6
"2121055",114.6
"2121095",114.2
"2121005",113.454545454545
"2121050",127.75
"2121010",111.25
"2121045",116.230769230769
"2121080",118.333333333333
"2121035",115
"2121030",114.666666666667
"2121015",115.666666666667
"2121025",116.571428571429
"2121020",116
"2121235",115.083333333333
"2121075",117.444444444444
"2121065",117
"2121090",117.333333333333
"2121085",115.5
"2121230",121.75
"2121225",121.75
"2139335",148.5
"2139500",148.502150037411
"2139520",147.233211553994
"2139525",146.063048440366
"2139475",143.036800179294
"2139485",145.302219569235
"2139465",141.873345276132
"2139460",142
"2139380",141.146281149028
"2139555",139.604702453107
"2139425",138.959770243714
"2139440",140.801214179112
"2139390",140.466357967619
"2139265",139.528307215282
"2139275",138.974191361351
"2139295",135.960280667499
"2139290",136.235412689067
"2139285",136.498531404006
"2139120",136.264598171331
"2139175",138.012083699329
"2139110",137.711061185866
"2139180",138.631670106839
"2139260",139.004225325015
"2139210",143.480370937689
"2139195",141.696421524876
"2139255",140.406917127271
"2139320",140.809530503454
"2139375",141.578697438392
"2139370",142
"2139105",138.054210484981
"2139240",144.5
"2139245",144.633482923974
"2139235",144.391169436342
"2139205",143.318078271681
"2139200",142.364208548505
"2139455",142.112594362108
"2139470",143.088284872177
"2139450",142.012021147107
"2139585",143.857790758589
"2139480",145.027228780349
"2139145",133.69655547577
"2139420",137.686021326996
"2139410",136.882792040354
"2139215",142.474665258883
"2139075",142.645987931949
"2139080",141.433412187661
"2139045",139.780987612207
"2139085",140.67432647811
"2139040",139.005531214591
"2139035",137.832082077647
"2139090",140
"2139010",135.301774429046
"2139030",137.026829784839
"2139005",136.302623785547
"2139015",134.028983408657
"2139025",135.068236903531
"2139020",134.562927222089
"2139115",135.999490418699
"2139125",134.766538058099
"2139135",133.364694742528
"2139165",135.987957654234
"2139160",135.615491843803
"2139130",133.894331085083
"2139140",135
"2139150",135.269226969706
"2139100",138.746136390969
"2139270",138.212804686348
"2139170",137.208977924531
"2139360",144.017393712627
"2139365",142.996552384869
"2139330",145
"2139325",142.822226120628
"2139315",140.145470422992
"2139385",140.65869910925
"2139310",139.477476654238
"2139305",138.874555288793
"2139400",139.985165321218
"2139280",136.775725299015
"2139300",138
"2139515",149.772959921265
"2139615",148.410766637059
"2139600",146.273109111456
"2139605",147.28848331049
"2139595",145.685014472128
"2139530",144.171198231453
"2139590",144.26936637239
"2139535",144.031957636116
"2139575",143.426791209858
"2139570",142.845712254358
"2139550",140
"2139435",140.052679809748
"2139565",142.163486945752
"2139560",141.001804106763
"2139545",141.108566287932
"2139355",145.072891169326
"2139345",147.299353080208
"2139395",140.673550622078
"2139405",138.498515663409
"2139350",146.14051506584
"2139095",138.662205030315
"2139190",139.996495846799
"2139185",140.203081150349
"2139495",147
"2139490",145.766845073932
"2139415",136.765711798499
"2139540",142.098236104811
"2139445",141.19348159146
"2134150",131.562165880878
"2134130",132
"2134195",143.145121767821
"2134080",145.5
"2134090",144.5
"2134190",143.408500938394
"2134185",143.348140143754
"2134215",142.728939580576
"2134225",143.248934368404
"2134175",143.721600424917
"2134230",142
"2134240",143.165805431486
"2134085",143.571026201182
"2134170",142.50963082079
"2134245",139.5
"2134165",139.014749625057
"2134255",137.5
"2134270",137.5
"2134160",139.5
"2134125",136.5
"2134120",139.479151450961
"2134040",134.463296127889
"2134030",134.5
"2134015",134.5
"2134025",136.385079035086
"2134095",143.563227748352
"2134100",142
"2134105",142.906877796644
"2134050",139.725670219108
"2134045",140.129943522551
"2134115",140.270633383142
"2134110",139.191204175737
"2134010",134.440091130046
"2134285",134.910134503516
"2134275",135.617105760682
"2134280",131.5
"2134155",132.155482672273
"2134180",143.650383228239
"2134260",138.790094139195
"2134250",138.680275855188
"2134035",136
"2121100",119
"2106335",118.708478507561
"2106300",119.113317096613
"2106235",122.619998396988
"2106200",123.091906272371
"2106055",126.185938310903
"2106240",122.008074241124
"2106165",125
"2106195",122.687130871732
"2106190",122.865251964311
"2106175",123.5
"2106170",124.982481777186
"2106140",125.890695967712
"2106295",118.929976162401
"2106090",126.78747912903
"2106070",131.794965483608
"2106160",126
"2106095",128.764418842329
"2106135",124
"2106130",123.305979031783
"2106185",123
"2106085",128.13803989151
"2106155",122.281312798053
"2106205",120.391367477005
"2106290",118.546903027148
"2106150",120.825249461615
"2106245",122
"2106250",122.977146159295
"2106145",125
"2106270",120
"2106265",120.826036879764
"2106305",117.631091272016
"2106330",118.65168968395
"2106310",116.004529858826
"2106320",116.039966425147
"2106325",117.480430839624
"2106315",116.007853882053
"2106275",119.897980651287
"2106280",119.382590067115
"2106230",120.422144093477
"2106225",119.441593354371
"2106125",123.25
"2106255",123.18646010694
"2106260",123.323359587398
"2106180",122.604875721577
"2106065",131.95779193758
"2106035",129.427346225632
"2106060",128.926954479511
"2106045",126.274427017781
"2106020",129.686829029978
"2106040",127.318234006395
"2103285",126
"2103290",126
"2103240",128.897822834115
"2103325",133.768519054569
"2103330",132.441421536872
"2103335",130.444144779702
"2103130",129.266138564078
"2103120",129.475379132781
"2103200",130
"2103190",132.505446254143
