gnd_id,protected_areas
"8124120",0
"2121215",0.999191830264561
"2121210",0.681253723125199
"2121200",0.421537154154082
"2121195",0.0392626633720264
"2121190",0.999287434776747
"2121185",0.887411485820712
"2121180",0.545336292298775
"2121205",0.706360910886145
"2121220",0.149989472466773
"2121170",0.50560223087253
"2121175",0.701391034678396
"2121165",0.989773326468506
"2121140",0.00386416775814196
"2121160",0.989836348568457
"2121145",0.895768256581099
"2121155",0.501470886025921
"2121125",0.104838575831322
"2121150",0.219992836052412
"2121120",0.352271984281067
"2121135",0.00659478359457918
"2121040",0.0503165301515429
"2121060",0
"2121070",0.0729808185714838
"2121110",0
"2121055",0.415228526562383
"2121095",0.449355010817657
"2121005",0.455070984460775
"2121050",0.857090979147079
"2121010",0.0703131797896157
"2121045",0.561548969063296
"2121080",0
"2121035",0.1907848858183
"2121030",0.390028422105984
"2121015",0.327695176359914
"2121025",0
"2121020",0.00618873740951289
"2121235",0.989544395761703
"2121075",0
"2121065",0
"2121090",0.0711376378463963
"2121085",0.584753489266891
"2121230",0.479246129432212
"2121225",0.186443222932211
"2139335",0
"2139500",0
"2139520",0
"2139525",0
"2139475",0
"2139485",0
"2139465",0
"2139460",0
"2139380",0
"2139555",0
"2139425",0
"2139440",0
"2139390",0
"2139265",0
"2139275",0
"2139295",0
"2139290",0
"2139285",0
"2139120",0
"2139175",0
"2139110",0
"2139180",0
"2139260",0
"2139210",0
"2139195",0
"2139255",0
"2139320",0
"2139375",0
"2139370",0
"2139105",0
"2139240",0
"2139245",0
"2139235",0
"2139205",0
"2139200",0
"2139455",0
"2139470",0
"2139450",0
"2139585",0
"2139480",0
"2139145",0
"2139420",0
"2139410",0
"2139215",0
"2139075",0
"2139080",0
"2139045",0
"2139085",0
"2139040",0
"2139035",0
"2139090",0
"2139010",0
"2139030",0
"2139005",0
"2139015",0
"2139025",0
"2139020",0
"2139115",0
"2139125",0
"2139135",0
"2139165",0
"2139160",0
"2139130",0
"2139140",0
"2139150",0
"2139100",0
"2139270",0
"2139170",0
"2139360",0
"2139365",0
"2139330",0
"2139325",0
"2139315",0
"2139385",0
"2139310",0
"2139305",0
"2139400",0
"2139280",0
"2139300",0
"2139515",0
"2139615",0
"2139600",0
"2139605",0
"2139595",0
"2139530",0
"2139590",0
"2139535",0
"2139575",0
"2139570",0
"2139550",0
"2139435",0
"2139565",0
"2139560",0
"2139545",0
"2139355",0
"2139345",0
"2139395",0
"2139405",0
"2139350",0
"2139095",0
"2139190",0
"2139185",0
"2139495",0
"2139490",0
"2139415",0
"2139540",0
"2139445",0
"2134150",0
"2134130",0
"2134195",0
"2134080",0
"2134090",0
"2134190",0
"2134185",0
"2134215",0
"2134225",0
"2134175",0
"2134230",0
"2134240",0
"2134085",0
"2134170",0
"2134245",0
"2134165",0
"2134255",0
"2134270",0
"2134160",0
"2134125",0.0701823314261792
"2134120",0.00237147530845477
"2134040",0
"2134030",0
"2134015",0.112270174407288
"2134025",0
"2134095",0
"2134100",0
"2134105",0
"2134050",0
"2134045",0
"2134115",0
"2134110",0
"2134010",0
"2134285",0
"2134275",0
"2134280",0
"2134155",0
"2134180",0
"2134260",0
"2134250",0
"2134035",0
"2121100",0.0300933484974832
"2106335",0
"2106300",0
"2106235",0
"2106200",0
"2106055",0
"2106240",0
"2106165",0
"2106195",0
"2106190",0
"2106175",0
"2106170",0
"2106140",0
"2106295",0
"2106090",0
"2106070",0
"2106160",0
"2106095",0
"2106135",0
"2106130",0
"2106185",0
"2106085",0
"2106155",0
"2106205",0
"2106290",0
"2106150",0
"2106245",0
"2106250",0
"2106145",0
"2106270",0
"2106265",0
"2106305",0
"2106330",0
"2106310",0
"2106320",0
"2106325",0
"2106315",0
"2106275",0
"2106280",0
"2106230",0
"2106225",0
"2106125",0
"2106255",0
"2106260",0
"2106180",0
"2106065",0
"2106035",0
"2106060",0
"2106045",0
"2106020",0
"2106040",0
"2103285",0
"2103290",0
"2103240",0.00381262401777823
"2103325",0
"2103330",0
"2103335",0
"2103130",0
"2103120",0
"2103200",0
"2103190",0
"2103195",0
"2103050",0
"2103045",0
"2103090",0.0477625669730983
"2103235",0.158631292504551
"2103105",0.0439948617319907
"2103055",0
"2103255",3.33933327651009e-07
"2103260",0
"2103305",0
"2103150",0
"2103155",0
"2103145",0
"2103165",0
"2103040",0
"2103075",0
"2103135",0
"2103205",0
"2103140",0
"2103170",0
"2103180",0
"2103175",0
"2103245",0
"2103300",0
"2103225",0
"2103250",0.015765978445772
"2109030",0
"2109160",0
"2109140",0
"2109110",0
"2109005",0
"2109015",0
"2109035",0
"2109060",0
"2154150",0.151069078790066
"2154135",0
"2154105",0
"2154095",0
"2154110",0
"2154100",0
"2154050",0
"2154055",0
"2154060",0
"2154010",0
"2154115",0
"2154125",0
"2154140",0
"2154145",0
"2154020",0
"2154045",0
"2154120",0
"2154130",0
"2154040",0
"2118050",0.398617427519681
"2118145",1
"2118120",1
"2118115",0.94645857917144
"2118110",0.881861189190468
"2118170",0.876296482012507
"2118140",0.843578771492004
"2118290",0.849400454261905
"2118225",0
"2118175",0.770202027334982
"2118280",0.0669851158982912
"2118150",0.522059869054787
"2118305",1
"2118310",0.885002821107798
"2118010",0.850989480445614
"2118045",0.512134080544786
"2118040",0.679943720490067
"2118165",0.75360941040976
"2118160",0.850482182945867
"2118200",0
"2118155",0.64529639085682
"2118235",0
"2118285",0.614028377411546
"2118300",1
"2118190",0.0243918378693506
"2118195",0.245564486298135
"2118265",0.000541464241402928
"2118315",0.383047975012368
"2118260",0.299943735491974
"2118035",0.499473011371818
"2118065",0.364460390714452
"2118060",0.00307117011479828
"2118055",0.309858404741844
"2118135",0.960508744450157
"2118090",0.999281706327529
"2118085",0.83547082842763
"2118105",0
"2118070",0.0666741997839599
"2118075",0.41062367188838
"2118095",1
"2118230",0
"2118025",0.983122822831919
"2151005",0
"2151235",0
"2151105",0
"2151190",0
"2151140",0
"2151145",0
"2151195",0
"2151150",0
"2151185",0
"2151205",0
"2151160",0
"2151155",0
"2151175",0
"2151170",0
"2151200",0
"2151240",0
"2151215",0
"2151180",0
"2151165",0
"2151115",0
"2151010",0
"2151085",0
"2151060",0
"2151100",0
"2151095",0
"2151090",0
"2151065",0
"2151050",0
"2151055",0
"2151015",0
"2151040",0
"2151020",0
"2151045",0
"2151125",0
"2151135",0
"2151120",0
"2151070",0
"2148140",0
"2148135",0
"2148080",0
"2148085",0
"2148060",0
"2148065",0
"2148070",0
"2148075",0
"2148035",0
"2148055",0
"2148050",0
"2148130",0
"2148120",0
"2148110",0
"2148045",0
"2148040",0
"2148015",0
"2148010",0
"2148095",0
"2148100",0
"2148105",0
"2148005",0
"2148025",0
"2136265",0
"2136255",0
"2136270",0
"2136110",0
"2136245",0
"2136050",0
"2136115",0
"2136285",0
"2136240",0
"2136290",0
"2136230",0
"2136235",0
"2136315",0
"2136310",0
"2136030",0
"2136150",0
"2130305",0
"2130310",0
"2130300",0
"2130200",0
"2130205",0
"2130210",0
"2130165",0
"2130170",0
"2130160",0
"2130100",0
"2130175",0
"2130215",0
"2130235",0
"2130240",0.229996699153938
"2130255",0
"2151210",0
"2142160",0.00126215540043919
"2145220",0.505733813869711
"2109065",0
"2112010",0.134851813525512
"2112005",0
"2115045",0.364863918505425
"2115055",0.702539092203138
"2115005",0.551802698149596
"2115010",0.226199488746112
"2115020",0.354901485406453
"5239105",0
"5239100",0
"5239010",0
"5239110",0
"5239085",0
"5239095",0
"5239090",0
"5215085",0
"5215095",0
"5215110",0
"5215105",0
"5215080",0
"5215100",0
"5215075",0.0446659414814543
"5215070",0
"5218005",0
"5218210",0
"5218140",0
"5218150",0
"5218175",0
"5218165",0
"5221045",0
"5221030",0
"5221040",0
"5221035",0
"5224040",0
"5224030",0
"5224025",0
"5224020",0
"2124350",0.452493101270875
"2124345",0.872663576224291
"2124170",0.27901354541696
"2124415",0.835432064629778
"2124365",0.845562619105455
"2103125",0
"2103115",0
"2103210",0
"2103320",0
"2103295",0
"2103310",0
"2103100",0
"2103215",0
"2103065",0
"2103070",0
"2109090",0
"2109095",0
"2103315",0
"2134135",0
"2134140",0
"2136035",0
"2136040",0
"2134265",0
"2136460",0
"2136370",0
"2136465",0
"2139060",0
"2139055",0
"2139050",0
"2139505",0
"2136340",0
"2151230",0
"2103005",0
"2103010",0
"2151080",0
"2151130",0
"2148145",0
"2148125",0
"2151075",0
"2154090",0
"2154155",0.00180253412084883
"2154085",0.0798465361795653
"2154015",0
"2154005",0
"5248105",0
"5248030",0
"5248130",0
"5248090",0
"5248040",0
"5248020",0.510051130630387
"5248110",0
"5248115",0.395021141574787
"5248080",0.386101087881495
"5248005",0.0494478264179745
"5242155",0.857336154165296
"5242115",1
"5242120",1
"5242110",0.665412683924026
"5242065",0.999771985548242
"5242105",0.0395724253683201
"7160035",0
"7160025",0
"7160055",0
"7160050",0
"7160045",0
"7160030",0
"7160005",0
"7121005",0
"7121025",0
"7121030",0
"7121020",0
"7121055",0.0023749821885264
"7121150",0.0135690363323831
"7118190",0.0209808607391186
"7118105",0
"7118180",0.0159859224938294
"7118185",0.0975664368890904
"7118145",0
"7118070",0.43566088318014
"7130115",0.0656190354817607
"7130020",0.0117102240196523
"7130015",0
"7130010",0
"7130005",0.0261172875291605
"7130025",0.620880760042747
"7130075",0.255174540448514
"5215065",0
"5212150",0
"5212080",0
"5212165",0
"5212155",0
"5212110",0
"5212115",0
"5212240",0
"5212130",0
"5212235",0
"5212245",0
"5212135",0
"5212120",0
"5212125",0
"5212215",0
"5212210",0
"5212220",0
"5212230",0
"5212175",0.331509424736238
"7130050",0
"7130045",0
"7139035",0
"7139020",0
"7139015",0
"7139025",0
"7139080",0
"7139075",0
"7139065",0
"7139030",0
"7139060",0
"7139090",0
"7139125",0
"8106045",0
"8106210",0
"8106115",0.184139389792689
"8106120",0.282944518436091
"8106130",4.24020182865402e-05
"8106125",0
"8106170",0
"8106185",0
"8106200",0.0981837073348383
"8106175",0.00167409337139789
"8106195",0.101453457515223
"8106180",0.00762445230753508
"8106190",0
"8106030",0
"8106050",0
"5242025",0
"5242135",0.00142365583102895
"2124325",0
"2124330",0.190877113289467
"2124315",0.286249244744635
"2124320",0.757141423481685
"2124370",0.94337031363979
"2124380",0.481901346759162
"2124470",1
"2124435",0.346204235133218
"2124440",1
"2112140",0
"2112145",0
"2112245",0
"2112050",0
"2112035",0
"2136350",0
"2136470",0
"2139065",0
"2139070",0
"2139220",0
"2139225",0
"2139230",0
"2139340",0
"2139510",0
"2151035",0
"2154065",0
"2154070",0
"2154075",0
"2154080",0
"2157035",0.00802073828460246
"5233040",0
"5233035",0
"5233030",0
"5233025",0
"5233020",0
"5218130",0
"5218245",0
"5218255",0
"5218205",0
"5224015",0
"5224005",0
"5224010",0
"5221025",0
"5221110",0
"5221105",0
"5221100",0
"7124145",0
"7124105",0
"7106120",0.113070084043328
"7106125",0.283669721487159
"7106100",0
"7106090",0.180237638121936
"7106095",0.127622183022306
"7106020",0.331922675259741
"7106045",0.580726416081879
"7106040",0
"7148095",0
"7136090",0.452690525329045
"7148005",0
"7148035",0
"7124190",0.0113559738426685
"7127140",0.0143483563502309
"7127090",0.0137673167110069
"7157010",0.0169522891710829
"7157020",0.00138686264163294
"7157050",0
"7157030",0.000318529392899477
"7157055",0.191268877235267
"7157070",0.236193169880845
"7154240",0
"7154265",0
"7154245",0
"7154260",0
"7166100",0
"7166105",0
"1230045",0
"1230060",0
"1230065",0
"1230070",0
"1230140",0
"1230135",0
"1230040",0
"1230035",0
"1230030",0
"1230025",0
"1230020",0
"1230120",0
"1230015",0
"1230075",0
"1230005",0
"1230010",0
"1230340",0
"1230335",0
"2148030",0
"2148020",0
"2157005",0
"2157015",0
"2157025",0
"2157110",0
"2157130",0
"2157135",0.0503399377185266
"2157115",0
"2157050",0
"2157090",0
"2157045",0
"2157085",0
"2151110",0
"2118295",1
"2124215",0
"2124100",0
"2124420",0.777567826263965
"2124340",0.580534452376314
"2124335",0.459606360099126
"2124375",0.424250690744653
"2124290",0.143129777012919
"2124015",0.724975776341857
"2124160",0
"2124260",0.152354836391817
"2124220",0.456759968023785
"2124225",0.285655553725161
"2124230",0
"2124360",0.229408019220566
"2124180",0
"2124465",1
"2124460",1
"2124400",0
