gnd_id,aridity_index
"8124120",11887.5
"2121215",9086.66666666667
"2121210",9067.33333333333
"2121200",9100.5
"2121195",9100.66666666667
"2121190",10184.8181818182
"2121185",10491.5
"2121180",9544
"2121205",9311.63636363636
"2121220",8986.5
"2121170",9243.83333333333
"2121175",9455.5
"2121165",9511.5
"2121140",9154
"2121160",11002.4347826087
"2121145",9642
"2121155",9907.66666666667
"2121125",9372.31025242902
"2121150",9528.5
"2121120",9977.25
"2121135",9217
"2121040",9883
"2121060",9570.5
"2121070",9450
"2121110",9165.6
"2121055",10743.7
"2121095",10725.6
"2121005",11196
"2121050",13207
"2121010",10422.375
"2121045",11342.0769230769
"2121080",9200.16666666667
"2121035",9644
"2121030",9570.66666666667
"2121015",9456
"2121025",9242.85714285714
"2121020",9301.90909090909
"2121235",9626.75
"2121075",9190.66666666667
"2121065",9217.2
"2121090",9438
"2121085",9553
"2121230",9041.25
"2121225",8950
"2139335",16570
"2139500",16658.1759036977
"2139520",16419.6834443817
"2139525",16208.6196766086
"2139475",15692.0125939014
"2139485",16128.6817301294
"2139465",15463.8988378428
"2139460",15479
"2139380",15361.186796711
"2139555",15079.776124163
"2139425",14921.4129640621
"2139440",15249.0889728978
"2139390",15235.00693098
"2139265",15221.7917193541
"2139275",15111.7802841596
"2139295",14684.5546436553
"2139290",14710.3999511841
"2139285",14728.3424040275
"2139120",14746.5729355192
"2139175",14955.9910390878
"2139110",14987.5237419192
"2139180",15073.3988318796
"2139260",15060.4492834399
"2139210",15854.6313052846
"2139195",15623.9873800884
"2139255",15401.5446800342
"2139320",15431.9026088942
"2139375",15428.3634058327
"2139370",15489
"2139105",15052.7364354748
"2139240",15944
"2139245",16018.9679109431
"2139235",15925.5542982395
"2139205",15886.1710840542
"2139200",15799.9963870796
"2139455",15494.1732984179
"2139470",15669.9532797891
"2139450",15438.176540194
"2139585",15753.342051881
"2139480",16106.2551524249
"2139145",14295.0173450383
"2139420",14835.0978413234
"2139410",14793.7006264254
"2139215",15728.8998384163
"2139075",15874.4061272167
"2139080",15627.4985259423
"2139045",15484.9210580992
"2139085",15535.0412440803
"2139040",15386.187821443
"2139035",15062.1072515297
"2139090",15421
"2139010",14777.9920454683
"2139030",14878.6736419194
"2139005",14821.5458742843
"2139015",14644.5166471514
"2139025",14712.3917558705
"2139020",14653.352757195
