gnd_id,distance_roadways_motorway,distance_roadways_trunk,distance_roadways_primary,distance_roadways_secondary,distance_roadways_tertiary
"8124120",12440.7411348021,0,0,0,0
"2121215",45845.8662952368,9929.24125230424,2843.13087955301,555.141280135396,555.141280135396
"2121210",47308.7044508715,8655.82634419997,3756.52413031973,0,0
"2121200",49880.2883116796,5261.95908022615,1990.66366579953,0,0
"2121195",51541.9296865286,3583.53796859693,1861.4024821886,0,0
"2121190",48962.5144732926,4005.12409649004,3201.07399426772,105.894634422537,105.894634422537
"2121185",50793.475397228,2905.54938045857,1220.06715098286,0,0
"2121180",54290.2767287955,1895.20662495384,683.736030687104,0,0
"2121205",46771.3593249038,7058.17276201771,2582.45091507323,0,0
"2121220",46165.5285551498,8781.79311883973,2374.23041946712,0,0
"2121170",56256.4344037407,0,0,0,0
"2121175",54717.3367504628,0,0,0,0
"2121165",56896.3636411937,109.460685569785,109.460685569785,109.460685569785,109.460685569785
"2121140",58490.6506615926,0,0,0,0
"2121160",54419.442949125,0,0,0,0
"2121145",57491.7041235595,0,0,0,0
"2121155",59118.828744099,249.494223975491,249.494223975491,249.494223975491,249.494223975491
"2121125",60246.0269838201,1120.71238196443,1120.71238196443,9.79473095943856,9.79473095943856
"2121150",59205.457699255,249.5050961765,249.5050961765,121.184913788565,121.184913788565
"2121120",60686.8741041314,1698.12447059014,1698.12447059014,746.270605203302,746.270605203302
"2121135",59205.457699255,66.4500089387742,66.4500089387742,0,0
"2121040",67318.8553926484,7561.79922830801,7015.17135672274,1288.15396504001,1288.15396504001
"2121060",68229.2948589308,8875.52135267689,6215.94084319482,44.0889647506512,44.0889647506512
"2121070",67204.1178251667,8012.72314612873,5296.62042923454,0,0
"2121110",61394.3786807179,2119.67205063238,2119.67205063238,0,0
"2121055",63802.6341033709,4022.83536125781,4022.83536125781,826.408249390999,826.408249390999
"2121095",61599.0058204157,2434.16078045494,2434.16078045494,1141.25199629577,1141.25199629577
"2121005",68330.7504107142,8914.63075190362,7386.05093704801,3967.70727966543,3637.8305775502
"2121050",65333.6647254237,5600.18659525161,5600.18659525161,1924.18755438374,1924.18755438374
"2121010",68339.6507948866,8503.14170594256,6868.69654379879,2139.52177617028,2139.52177617028
"2121045",64342.7490352823,4466.12307159459,4466.12307159459,1618.90220457062,1618.90220457062
"2121080",64089.7320583874,4810.53686330126,4544.69294004693,0,0
"2121035",69585.8625021,10020.3185147766,6411.94834644788,0,0
"2121030",70253.1453062846,10831.1989321526,5652.25597769863,0,0
"2121015",71164.4133752935,11318.1173226478,6241.5999469129,0,0
"2121025",70685.9453198708,11398.880432254,3669.995428985,0,0
"2121020",72503.7344150504,13111.5362057959,4397.8256046634,0,0
"2121235",44397.9962147253,8048.80477272857,2354.18060939003,291.490934340009,291.490934340009
"2121075",65894.8396045438,6631.64269801441,3219.20685921772,0,0
"2121065",68697.9948978506,9408.94021335962,4275.59364644331,0,0
"2121090",63148.0698072961,4044.49504830877,4044.49504830877,0,0
"2121085",65053.0968327187,5805.40703171016,5639.25500889356,155.591513845318,155.591513845318
"2121230",43993.9945754843,11196.0854640329,766.085615185987,0,0
"2121225",44130.4905113173,10146.4098283456,802.677457071996,0,0
"2139335",62956.1736577747,4560.19781166434,4560.19781166434,3125.02117455695,3125.02117455695
"2139500",61761.6975825556,4291.30833672522,4291.30833672522,3277.22468872389,2969.60934981797
"2139520",60582.4531924952,2974.47310634736,2974.47310634736,2061.51012555558,1986.97528377552
"2139525",60022.560978781,2399.06844143396,2399.06844143396,1637.50990643431,1637.50990643431
"2139475",61139.8022178838,3267.60825188555,3267.60825188555,557.514194143143,426.021967202054
"2139485",61314.7988698874,3659.22355578852,3659.22355578852,1500.63554314555,1094.27380039067
"2139465",61122.0554240641,2828.31826355434,2828.31826355434,175.521368183237,0
"2139460",60814.3817628758,2692.73277140207,2692.73277140207,0,0
"2139380",60953.1640843325,2669.53210635377,2669.53210635377,0,0
"2139555",57715.8871159316,4.67248223566428,4.67248223566428,4.67248223566428,4.67248223566428
"2139425",58172.64080334,0,0,0,0
"2139440",59087.9946773114,903.93943225239,903.93943225239,680.545750593792,680.545750593792
"2139390",60152.405970755,1412.36311669218,1412.36311669218,0,0
"2139265",61922.0190839393,1862.29768447411,1862.29768447411,0,0
"2139275",61452.6055824588,1253.4253611312,1253.4253611312,0,0
"2139295",60014.2506511202,0,0,0,0
"2139290",60310.6224035831,0,0,0,0
"2139285",60800.7829799016,316.512214070992,316.512214070992,316.512214070992,316.512214070992
"2139120",63044.3908905694,1295.32695389904,1295.32695389904,81.7864957160193,81.7864957160193
"2139175",62589.3392532586,1934.98960821192,1934.98960821192,234.195994984453,233.774509637337
"2139110",63717.5379843419,1757.92385192165,1757.92385192165,984.277647549311,0
"2139180",62981.3885459251,2230.32678588531,2230.32678588531,352.790585876381,0
"2139260",62569.0028057359,2088.11647832238,2088.11647832238,0,0
"2139210",64971.5915734576,2292.28814901767,2292.28814901767,2292.28814901767,2205.77819913099
