gnd_id,aridity_index
"1212625",14814.4790491129
"1239245",16504.3426183595
"1212705",13770.5
"1239190",14591
"1212675",13688.9182003908
"1212605",14185.5
"1239175",15313.6175609966
"1212715",13924.7382546345
"1239180",15192.5
"1212725",15686.6666666667
"1239185",15072.4248713186
"1239240",16499.4313013859
"1215450",12787.5
"1215445",12481.5170063775
"1215350",13264.5
"1215565",12126.4079666994
"1224465",15337.5914534033
"1215380",13682.5568159431
"1224500",15667.9653470756
"1224455",14615.7902962856
"1215375",13727.3333333333
"1215345",13231.0462136785
"1215340",13049.6879092692
"1215360",13505.4743177133
"1215430",12602.2991663402
"1227530",15453.7163078186
"1227570",16109.5
"1215415",13082.3299268725
"1227485",15426.0876925972
"1209470",12935.4819403432
"1227540",15599.1802860526
"1227435",17332.30280401
"1227295",13853.0850118822
"1227490",15147.4049700044
"1227550",15860.5853233225
"1215435",12516.746661275
"1227690",15263.5797288871
"1227585",17540.75
"1209295",12166.1395466719
"1209460",13173
"1209465",13158.6666666667
"1209450",13405.5962761446
"1209305",11961.5
"1209495",12577.6666666667
"1233430",13369.5353653015
"1233125",16380.2076949227
"1233440",13620.2920084784
"1233385",14152.4569082193
"1233435",13438.3524967455
"1230285",17918.1407533872
"1233445",13718.0490688038
"1233400",13902.8544470944
"1227740",16336.5
"1227735",16348.3464198062
"1227730",16526.5
"1212115",13625.0585153068
"1227725",17317
"1227720",16802.3350138394
"1233185",16534.5
"1233320",15202.9752257503
"1212050",13066.1527636134
"1212035",13237
"1227675",15229
"1212540",14486.34910558
"1227595",18497.25
"1227685",14963.5115985406
"1227600",17753
"1212130",13924.5765315676
"1212010",12507.4
"1224505",15583.5
"1212015",12842.6
"1212005",12430
"1212020",12841.1351411952
"1212025",12744
"1212030",12944.9987556495
"1212040",13077
"1227120",14280.2204433554
"1212515",15154.5755042947
"1227310",14266.0233061027
"1227135",13959.0551833233
"1209455",13268.0483587371
"1227560",15928.0287784164
"1227715",16640
"1209475",12835.5
"1227060",14452.7206469227
"1227050",14369.3689369601
"1227125",14040.0501280852
"1227040",14119.7518489377
"1227575",16578.7281317849
"1227225",15302.8156423503
"1233390",14069.5586452628
"1227330",14441.4521824135
"1227030",13999.7918036389
"1227630",15821.2650829906
"1227640",15766.7674135647
"1227070",14801.3333333333
"1227065",14571.2385710776
"1227025",14000.0557891822
"1224420",14581.0340021365
"1227045",14232.2715175312
"1236100",13615.0346902001
"1233450",13641.8263559513
"1227140",13875.3333333333
"1227085",14920.4941920694
"1236120",13187.9128695836
"1215560",12437.5
"1236090",13963.0728051746
"1236115",13282.5879977532
"1215505",13656.6847624458
"1215605",13249.956031033
"1215515",13600.2912381464
"1215600",13059.2828723462
"1233035",15844
"1233045",15973.3333333333
"1221025",12188
"1206390",11766.9186019258
"1230665",18447
"1230640",17906.3274727141
"1218010",11526
"1218005",11516
"1218020",11915.379682804
"1218015",11652
"1215520",13393.5
"1218025",11815.5
"1230170",18505.3963624529
"1230175",18548.6278805575
"1230270",17465.6666666667
"1230230",17140.3418622826
"1230305",18790.0081275549
"1230040",16921.0186003852
"1230645",17804
"1230310",18542.0373333369
"1212590",13931.5
"1227315",14403.7256647536
"1212660",15275.2948734235
"1212665",15480.25
"1209090",11900
"1212740",15544.305793837
"1230010",16529
"1209095",11967.9945550815
"1209250",13118.5
"1227605",16904
"1221110",12690.2773894774
"1221105",12772.2600614943
"1221120",12201
"1221115",12356.1271709175
"1221140",13033
"1221130",12574.9156491665
"1212550",14035.5
"1206045",11019.347996096
"1212520",15088.3716980168
"1212575",13759.5075657826
"1212530",14814.176104442
"1212700",13875.5317280393
"1227705",16129.6674036327
"1227695",15896
"1209395",13588
"1227290",13849
"1227515",15055.9430069246
"1227565",16289.4102153893
"1209030",11704.3333333333
"1227195",14752.2858695357
"1212185",14497.4368562067
"1212200",13747.7362567192
"1209290",12200.8
"1209150",11741
"1227335",14700
"1227445",16139
"1209170",12027.2607706505
"1227425",17799.8333333333
"1227500",14834.4655323918
"1227505",14765.0266931662
"1212615",14465.9202252755
"1209300",12065.4542751329
"1209560",12742.1359901746
"1236180",13727.3652390182
"9230070",20149.5
"0",11200.8434080691
"9230035",23696.8333333333
"9233005",22771.5
"1230195",17875.5062844811
"1206100",11249.5
"1206110",11004.1335619616
"1206105",11080.664808118
"1206095",11353.7488599227
"1206090",11474.5
"1212195",13928.6993566736
"1206115",10918.5445149694
"1230335",17288.5
"1203105",10736.5205974964
"1230250",16804.5
"1230340",17064.3409910142
"1230295",18957
"1230255",16931
"1230260",16942.5
"1230200",17871.6733970102
"1221100",12819.6384528776
"1221135",12708.8614900562
"1221240",13184.537712604
"1221260",13784
"1221230",12561
"1221185",12526.3837211229
"1203085",10780.2336604961
"1203080",10713.0462760803
"9215130",16951.6666666667
"9209010",17202.6666666667
"9218160",15943.6067356224
"9218170",15597.3333333333
"9221040",19037.5
"9212155",16300.5742402025
"9227160",24309.8571428571
"9224095",19097.3333333333
"9230150",22849.5
"9233065",26842.5
"9233120",28593.875
"9233130",25042.1891891892
"9230175",23401
"9233125",27137.4166666667
"9215115",16058
"9230180",25476.3333333333
"9233010",24518.75
"9215035",14252.4961821598
"9224025",18945.25
"9209270",19419.5
"9218390",19218.6666666667
"9209275",19825.3333333333
"9233060",25502.1666666667
"9212285",20154.3333333333
"9230080",19612.5
"9230095",21557.3333333333
"9203340",13557
"9230075",20691.5
"9206015",14129
"9203390",13445
"9203400",14299.1403132401
"9203410",14095.3333333333
"9206125",14831.6762561976
"9206115",15029.0072770668
"9206210",15010
"9212095",14797.5
"9212140",16255.692466981
"9206235",15375.6666666667
"9224045",19814
"9215240",17787
"9218310",16124.8
"9218295",17768
"9209215",17181
"9212250",17351.9479444177
"9212055",15636.3333333333
"9203440",14607.5006010716
"9206130",14816.8096668811
"9215200",18311
"9215230",17800.75
"9218365",17240.3333333333
"9221010",18540
"9218375",18071.6666666667
"9206335",16597.8042549435
"9209305",19279
"9215205",17321.3355587654
"9206325",16733.4528246742
"9203205",12968.3705175971
"9221125",20096.6666666667
"9203240",13499.5
"9203220",12922.4929396552
"9209200",21228.8333333333
"9215095",15378.5662823877
"9218320",17081.3333333333
"9209280",18816.3292549926
"1203060",10596.4304463243
"1212425",13554.25
"1203070",10644.4287027052
"1203055",10772.6472299771
"1203090",10817.7514788494
"1212410",13576
"1212370",14938.2764945929
"1212360",15552
"1227475",15530.0278230293
"1227480",15442.6484650795
"1203185",11201.5
"1203075",10734
"1203190",11326.6610664201
"1227700",15937.2364801515
"1230155",18035
"1227745",16403.1388565666
"1206035",11272.4434979269
"1206020",10735.5
"1206040",11158.2
"1206055",10662.8954368573
"1239195",14230.3360896748
"1239115",14155
"1227460",15779.9483376321
"1227390",15540
"1215535",12918.2474985705
"1215590",12668.3333333333
"1215480",13364.013256407
"1215470",13249.9120607022
"1206030",10958.5
"1215580",12420.5926274996
"1206010",10530.9529277813
"1206025",10858.5
"1212545",14300.2287925014
"1212155",14160
"1212095",13773.8123075686
"1212480",14925.7023686169
"1212630",14843.3086595911
"1212160",14835.3333333333
"1239210",14842.5416944776
"1239230",16077.4250799896
"1212055",13114
"1212120",13667.5511415375
"1212570",13707.75
"1212455",14123.7443196622
"1212465",14194.9215987254
"1212100",13851.4579769979
"1212535",14567.8997721982
"1212555",13891.4229657954
"1236130",13070.1742640458
"1236110",13377.3852872869
"1236135",13241.5169421291
"1236155",14079.1994667103
"1212090",13783.5357185197
"1236160",14155.3177893138
"1212105",13624.5
"1212110",13500
"1212400",13767.5
"1212320",14050.6972354496
"1212375",14697.1127469181
"1212415",13504.3912375099
"1233405",13648.2215520143
"1206015",10649
"1236105",13518.9645364041
"1233425",13251.8427997251
"1227655",15476.5
"1227670",15003.7909530748
"1227710",16340.9969559434
"1227610",16537.8436658414
"1227755",16491.3333333333
"1227650",15793.4095199823
"1206135",11153.5877889699
"1206130",11081.7159348386
"1227190",14737.5
"1227185",14568.350807507
"1227180",14682.3676976091
"1227275",14188.0663868183
"1227175",14379.9811142631
"1227615",16317
"1227635",15860.882913959
"1227660",15232.3333333333
"1239080",14968.510157221
"1239070",15327.2290256175
"1239075",15122
"1239050",16328
"1239105",14394.7871559605
"1239065",15474
"1227170",14170.596967025
"1227255",14903
"1239220",15574.5
"1239235",16227.6953279233
"1227005",13806.9943577949
"1239215",15009.0203761998
"1227520",15361.3625335584
"1239225",15843.5
"1239055",16067
"1224175",13578.2820381347
"1209200",12508
"1209080",12187.1371661903
"1209015",11319.3333333333
"1209190",12285
"1209390",13017.6666666667
"1209280",12455.6666666667
"1209410",13846.5
"1209285",12318.6
"1224360",14555
"1224400",14822.9831287728
"1224390",15027.5030851519
"1236170",13859.842197873
"1230300",19001
"1230240",16664.583855465
"1209210",12488.5
"1209085",12034.3333333333
"1236185",14006.0935726511
"1224395",14740.5
"1224385",14939.3333333333
"1206005",10520
"1224365",14580.55717908
"1206050",10797.5
"1224440",14118
"1224355",14264.7021446271
"1206125",11011.5841361088
"1206160",11537.6666666667
"1209315",11595
"1209425",13630
"1221035",12021
"1206120",11032.8964301143
"1206075",10864.0031652561
"1206060",10625.665439597
"1206320",11894.3485533119
"1224130",14235.9923148073
"1206375",12197.3465329853
"1206340",11440.7852855091
"1206355",11580.6990504909
"1206330",11527.5
"1206385",11626.3067190175
"1206380",11831.5642490426
"1224035",13292.5
"1224025",13023.6068494198
"1224050",13703.2870971954
"1224140",14012.715812147
"1224150",13841.2451243171
"1224040",13435.5364894675
"1221280",13823.9263685907
"1224070",13998.5
"1224100",14572.4430487756
"1224010",12623.9779505812
"1224105",14547.8477849763
"1224055",13810
"1224060",13948.4299806309
"1224115",14595.8603678809
"1224045",13529.4884828192
"1224020",12852.5569370798
"1224090",14332.677063706
"1224095",14592.6666666667
"1224075",14015.1571917007
"1224085",14184.3310409955
"1224080",14140.772190061
"1224015",12732.6449087735
"1224065",13903.7188753806
"1224030",12939
"1215370",13685
"1215275",12999.3333333333
"1215440",12352.5793053038
"1215265",13162.8819760527
"1230210",17333.5
"1230220",17257.1272755866
"1224185",13083.5521962656
"1224145",14098.3150310699
"1215185",12652.5
"1215255",13286.1436876001
"1215320",12527.9507196607
"1215325",12522.5375805342
"1215310",12287.5842192587
"1215335",12796
"1215425",12654.4101271079
"1215315",12370.4891909919
"1215210",13191.3333333333
"1215110",12706.3877256648
"1215180",12391.6616114884
"1215175",12192.5
"1215190",12633.6329826501
"1215230",13599.5
"1215270",13053
"1215205",13154
"1224265",14381.7329572547
"1224285",14818.7087261204
"1224270",14552.3797613173
"1215155",11977
"1215105",12850.2496323027
"1215170",12214.7454322817
"1215095",13004.0736760918
"1215150",11853.3184119937
"1224480",15318.5
"1224345",13859.0029376906
"1224405",14855.5857098768
"1224430",14260.3522505544
"1224490",15298.4903942194
"1224475",15173.3407714992
"1224425",14583.5941155871
"1224435",14247.6726860368
"1224235",13805.989894974
"1224325",14324.5
"1224215",13446.0230211644
"1224205",13343
"1224370",14578.5493367683
"1224375",14579.9321836481
"1224340",13950.4208687601
"1224210",13373.4898872357
"1224275",14721.0920541914
"1224225",13461
"1224230",13675.4106870037
"1224240",13938
"1224200",13244.6787727686
"1224315",14408.506885229
"1224135",14120.5
"1224310",14638.5
"1206310",11721.261482534
"1224280",14899.6222328281
"1224260",14332.0351093671
"1224160",13672.5
"1224195",13287
"1224255",14114.7961105322
"1224250",14173.8818084508
"1224190",13236.9625991431
"1212210",13824.5
"1212190",14071.0948652508
"1212270",13800.0435069447
"1212235",14306.0336595692
"1212310",13770.1936092581
"1212350",15366.3333333333
"1212340",14839.1111159527
"1212345",15136.6666666667
"1212140",14175.0186322805
"1212170",15171.3333333333
"1212165",14616.0262369237
"1212135",14357.3875857661
"1212335",14633.633158924
"1212220",14008.4939154281
"1212295",13511.1550233732
"1212255",14188.4579207492
"1212075",13577.25
"1212045",13223.3333333333
"1212080",13468.5
"1212070",13612.75
"1212060",13434
"1212065",13377.3179596102
"1212125",13973.5755063832
"1212085",13904.5
"1224450",14474.1482869551
"1224415",14816.7204506155
"1224410",14995
"1224445",14323.6695662993
"1224470",15448
"1224485",15625
"1224460",15031.9737830786
"1224495",15570.7606018103
"1206080",11144.5
"1236150",13925.8459092521
"1206150",11357.5
"1206085",11363.3333333333
"1206155",11379.3333333333
"1236165",13988.1930078865
"1206180",11818.5
"1206165",11706.3333333333
"1233310",15234.5
