gnd_id,gnd_area
"8124120",3631160.55105591
"2121215",1978435.96633911
"2121210",2807994.425354
"2121200",4996675.31759644
"2121195",3553749.95770264
"2121190",10582476.6972351
"2121185",10253963.9673462
"2121180",3421467.88537598
"2121205",8608740.05096436
"2121220",2649114.24649048
"2121170",4566941.18685913
"2121175",6453017.35461426
"2121165",2804191.76708984
"2121140",3278119.76324463
"2121160",14626513.5673523
"2121145",3386334.81646729
"2121155",3211242.59506226
"2121125",1045001.64096069
"2121150",1409363.55548096
"2121120",3378257.77331543
"2121135",4985519.0328064
"2121040",2792332.50042725
"2121060",2094980.61633301
"2121070",2186080.70742798
"2121110",3496276.25009155
"2121055",9856488.00976562
"2121095",3469612.09362793
"2121005",9854811.66033936
"2121050",7254205.90246582
"2121010",7287258.18475342
"2121045",9766953.10430908
"2121080",4801663.80593872
"2121035",1936289.1887207
"2121030",3230148.47537231
"2121015",3799805.30328369
"2121025",6349298.64471436
"2121020",5665970.60394287
"2121235",10490719.9745178
"2121075",6187368.28085327
"2121065",3072060.24731445
"2121090",2622618.85595703
"2121085",2272747.7991333
"2121230",3129159.05499268
"2121225",3526896.33840942
"2139335",1552360.13995361
"2139500",342227.776672363
"2139520",471374.357635498
"2139525",566933.634765625
"2139475",304692.684631348
"2139485",396653.139404297
"2139465",185234.521820068
"2139460",114902.069793701
"2139380",316712.976318359
"2139555",137721.816314697
"2139425",224817.22756958
"2139440",269215.769348145
"2139390",464199.376678467
"2139265",516436.817871094
"2139275",250776.369842529
"2139295",376658.691894531
"2139290",254656.155426025
"2139285",281938.814727783
"2139120",302226.524353027
"2139175",393168.063262939
"2139110",321319.926422119
"2139180",482830.349639893
"2139260",256968.270111084
"2139210",672655.540802002
"2139195",521461.261932373
"2139255",626951.319976807
"2139320",631745.503143311
"2139375",247181.777069092
"2139370",258557.548400879
"2139105",307497.004852295
"2139240",998189.289703369
"2139245",910602.134918213
"2139235",853681.803283691
"2139205",650339.454345703
"2139200",464079.237182617
"2139455",271456.682800293
"2139470",326709.670410156
"2139450",261386.701690674
"2139585",308543.77053833
"2139480",335861.595214844
"2139145",808198.753173828
"2139420",509709.359405518
"2139410",237960.471160889
"2139215",253086.598114014
"2139075",615192.923156738
"2139080",557363.488067627
"2139045",581108.088012695
"2139085",685092.578491211
"2139040",293856.931121826
"2139035",681890.366790771
"2139090",653911.831542969
"2139010",131828.189422607
"2139030",563545.677490234
"2139005",241246.90222168
"2139015",286088.852508545
"2139025",399982.266540527
"2139020",334743.902130127
"2139115",801181.261566162
"2139125",521950.743652344
"2139135",323635.434631348
"2139165",386423.975616455
"2139160",325969.035705566
"2139130",362531.88293457
"2139140",320524.953765869
"2139150",288455.177062988
"2139100",305669.311889648
"2139270",393539.404510498
"2139170",844009.504638672
"2139360",401681.861633301
"2139365",408070.937286377
"2139330",1055916.80490112
"2139325",775557.434570312
"2139315",588553.419433594
"2139385",360151.883270264
"2139310",424639.519073486
"2139305",676759.031005859
"2139400",456745.531921387
"2139280",358347.065948486
"2139300",607925.04510498
"2139515",446938.210754395
"2139615",469488.437469482
"2139600",357793.14743042
"2139605",291288.650817871
"2139595",431698.099975586
"2139530",719891.293792725
"2139590",407873.727020264
"2139535",407190.261138916
"2139575",747862.913238525
"2139570",437650.468292236
"2139550",423157.441955566
