gnd_id,distance_waterways
"1212625",6190.52471800241
"1239245",434.604655329183
"1212705",2518.13749679366
"1239190",711.615924109119
"1212675",3075.05919883676
"1212605",5268.58450340831
"1239175",51.1062557065779
"1212715",2392.93364122669
"1239180",0
"1212725",4160.62240542092
"1239185",797.265751081865
"1239240",0
"1215450",2228.68467409098
"1215445",1169.858821422
"1215350",2552.43144403479
"1215565",0
"1224465",3507.91172572823
"1215380",13.3499163785713
"1224500",4225.68841454062
"1224455",2784.63357243084
"1215375",198.448446566754
"1215345",3338.50667868951
"1215340",2517.92608245166
"1215360",1960.68360238288
"1215430",1970.69983286557
"1227530",0
"1227570",390.378696716211
"1215415",2452.96148668632
"1227485",0
"1209470",4932.88862115216
"1227540",713.221935601088
"1227435",0
"1227295",0
"1227490",0
"1227550",880.858108315549
"1215435",1641.42250477059
"1227690",1121.44052041984
"1227585",907.113985675676
"1209295",3641.51424692215
"1209460",4231.68622727168
"1209465",4255.99556687779
"1209450",4555.67048531742
"1209305",3170.97237259439
"1209495",5936.49007417998
"1233430",1957.07243382226
"1233125",1103.05883822479
"1233440",1035.49369444285
"1233385",882.762169341475
"1233435",1407.73672045513
"1230285",2302.72550582834
"1233445",569.064604379006
"1233400",328.979688950588
"1227740",1980.52081027858
"1227735",1865.16371798257
"1227730",2433.93819196942
"1212115",4793.36497074289
"1227725",3508.56221928284
"1227720",3008.14409071361
"1233185",3082.60446337394
"1233320",2624.99197755844
"1212050",2206.69514875187
"1212035",0
"1227675",869.990156069732
"1212540",7382.18586739353
"1227595",2541.13065097745
"1227685",729.738808713855
"1227600",2834.98208242227
"1212130",2703.74757228716
"1212010",0
"1224505",4177.91983643701
"1212015",346.481084667579
"1212005",0
"1212020",2120.77172370485
"1212025",1142.67525053922
"1212030",1508.66891510651
"1212040",120.718772443804
"1227120",1017.22963834874
"1212515",7795.87834776713
"1227310",372.334082305243
"1227135",991.409865916199
"1209455",4383.78412156063
"1227560",1105.71115356767
"1227715",2580.14266245646
"1209475",5428.61707474083
"1227060",3595.01491368213
"1227050",2589.57945750856
"1227125",1162.61372307759
"1227040",1607.43030702611
"1227575",929.184340616796
"1227225",3884.48623635311
"1233390",673.460872311479
"1227330",990.989321903126
"1227030",1662.4700517216
"1227630",0
"1227640",0
"1227070",3325.57651067245
"1227065",3852.68142747976
"1227025",1532.09756831561
"1224420",2821.52497385606
"1227045",2013.07690773955
"1236100",1588.1009464834
"1233450",1089.24230961678
"1227140",454.653380791559
"1227085",4424.67905005845
"1236120",178.622167616143
"1215560",806.631123520834
"1236090",929.264997167579
"1236115",0
"1215505",0
"1215605",114.401880076276
"1215515",0
"1215600",0
"1233035",1930.86647286658
"1233045",1805.19823684299
"1221025",801.477101810759
"1206390",0
"1230665",0
"1230640",0
"1218010",0
"1218005",5.06752032326612
"1218020",0
"1218015",0
"1215520",0
"1218025",0
"1230170",3875.64340718628
"1230175",4401.46593494346
"1230270",2140.62382744457
"1230230",297.649520207879
"1230305",2192.90205980583
"1230040",3785.33626797205
"1230645",0
"1230310",2491.02663381442
"1212590",3660.72190629534
"1227315",1060.36499829791
"1212660",6317.41261637485
"1212665",4590.59222042195
"1209090",1176.87634288556
"1212740",3199.76343393747
"1230010",1655.8467411563
"1209095",1879.98231257661
"1209250",2291.46159215702
"1227605",2029.60279895039
"1221110",0
"1221105",0
"1221120",0
"1221115",0
"1221140",1213.17433832419
"1221130",244.962522333977
"1212550",5884.57716144296
"1206045",1256.96852624859
"1212520",7615.0593214057
"1212575",4004.46651460062
"1212530",7996.23257154715
"1212700",2615.66433297508
"1227705",1022.61754103668
"1227695",682.664742128428
"1209395",3003.96670283485
"1227290",0
"1227515",0
"1227565",921.721364886939
"1209030",0
"1227195",2763.36490564139
"1212185",4247.69302524977
"1212200",5533.3731474243
"1209290",2930.06889249786
"1209150",1640.82105891153
"1227335",0
"1227445",0
"1209170",2358.42269205106
"1227425",0
"1227500",0
"1227505",0
"1212615",6212.41873779953
"1209300",3708.04127124714
"1209560",7647.42446779476
"1236180",0
"9230070",0
"0",0
"9230035",0
"9233005",0
"1230195",3458.69084490513
"1206100",1748.39309297866
"1206110",1700.08465652888
"1206105",2626.30300857138
"1206095",1568.25437105064
"1206090",1960.68162735896
"1212195",5680.55006045373
"1206115",851.901611948983
"1230335",2405.06879812086
"1203105",0
"1230250",2201.83940292729
"1230340",2836.35135191553
"1230295",2669.06757982454
"1230255",1434.06974192023
"1230260",1382.32350871657
"1230200",3555.62115724637
"1221100",1196.83546034243
"1221135",955.56515980599
"1221240",0
"1221260",135.466706250451
"1221230",1587.15368437591
"1221185",2115.89541158628
"1203085",0
"1203080",0
"9215130",2952.39820631505
"9209010",4524.65456654813
"9218160",4041.63013626455
"9218170",3464.78465795049
"9221040",1743.76988931618
"9212155",4655.99682900045
"9227160",0
"9224095",2915.45098861972
"9230150",1513.14325321332
"9233065",0
"9233120",1123.17942271659
"9233130",0
"9230175",4120.23292207826
"9233125",402.871681876248
"9215115",3034.55245236547
"9230180",4563.43923284095
"9233010",0
"9215035",3660.80678583425
"9224025",3334.97858345464
"9209270",2.73147645553225
"9218390",2650.98566266886
"9209275",0
"9233060",0
"9212285",3659.31996270941
"9230080",0
"9230095",607.409596825744
"9203340",0
"9230075",121.895641366616
"9206015",9.49013993164055
"9203390",0
"9203400",1391.1342433214
"9203410",66.3205702410191
"9206125",668.910423238291
"9206115",996.475868221991
"9206210",3973.5477125363
"9212095",3578.06089651106
"9212140",4993.39524586656
"9206235",1410.60274427917
"9224045",0
"9215240",0
"9218310",3634.17496747781
"9218295",5202.4363082826
"9209215",533.002741053625
"9212250",0
"9212055",5019.43066315461
"9203440",3335.15832155759
"9206130",23.6319916022304
"9215200",1192.07495164721
"9215230",141.351897234424
"9218365",0.793574644627295
"9221010",3904.78863184013
"9218375",795.588587784788
"9206335",3434.0678943235
"9209305",603.635402726018
"9215205",1007.50110278388
"9206325",4881.90704313819
"9203205",0
"9221125",3227.21941635368
"9203240",2415.26946150358
"9203220",2229.73862520845
"9209200",1174.42038582575
"9215095",4953.05110822369
"9218320",1410.37195593271
"9209280",0
"1203060",0
"1212425",5769.17810453615
"1203070",0
"1203055",529.064266065846
"1203090",416.490352669634
"1212410",7228.23084854502
"1212370",5849.34639011011
"1212360",4386.82764638381
"1227475",996.267993022445
"1227480",1216.62795696199
"1203185",2695.14224241123
"1203075",146.560964352974
"1203190",1906.72289566518
"1227700",783.107451375113
"1230155",5723.39884534016
"1227745",2233.74434135092
"1206035",0
"1206020",689.474298632635
"1206040",298.599635708759
"1206055",784.368577632803
"1239195",1111.53523566136
"1239115",925.536764232989
"1227460",1809.57223861229
"1227390",2841.50727982057
"1215535",624.114376390753
"1215590",0
"1215480",467.788062477595
"1215470",1351.38056327063
"1206030",0
"1215580",0
"1206010",0
"1206025",0
"1212545",7187.48619845774
"1212155",181.185824760166
"1212095",2649.01789959401
"1212480",8583.00505671124
"1212630",7185.60158412874
"1212160",0
"1239210",0
"1239230",0
"1212055",2075.67375142332
"1212120",4047.04647687385
"1212570",4007.63081288808
"1212455",7555.09863947032
"1212465",7854.72535620341
"1212100",3117.11589680569
"1212535",8079.25311614214
"1212555",6261.34555220299
"1236130",0
"1236110",0
"1236135",0
"1236155",590.007419702142
"1212090",2111.93313919418
"1236160",0
"1212105",3602.28307161563
"1212110",4097.86772129861
"1212400",7443.20951124136
"1212320",9025.02528558641
"1212375",7374.08106408007
"1212415",6983.1564489515
"1233405",562.132493567805
"1206015",57.4075414258703
"1236105",825.711467766475
"1233425",2586.65050931711
"1227655",791.280852579145
"1227670",149.508348668181
"1227710",1276.20928699137
"1227610",1405.46488973986
"1227755",2674.56044200096
"1227650",414.450609765615
"1206135",2274.35554313388
"1206130",2156.62368491181
"1227190",1923.9884835481
"1227185",2783.01581287953
"1227180",1751.27022036116
"1227275",0
"1227175",968.363883039658
"1227615",1561.92036006638
"1227635",243.979775373896
"1227660",959.814936468225
"1239080",1479.27569407568
"1239070",1665.11822335813
"1239075",2482.70120295578
"1239050",1147.6318231121
"1239105",61.7100888016695
"1239065",973.899930400456
"1227170",316.844594421172
"1227255",799.819216076889
"1239220",0
"1239235",0
"1227005",2061.86011090848
"1239215",0
"1227520",764.035396096798
"1239225",0
"1239055",0
"1224175",0
"1209200",1606.12858601307
"1209080",1896.8011110842
"1209015",0
"1209190",2472.83217712707
"1209390",2064.79753627198
"1209280",3921.39020590974
"1209410",4124.0840857329
"1209285",3967.52346937517
"1224360",2445.00403263384
"1224400",1184.82727765194
"1224390",1095.75105973009
"1236170",0
"1230300",1824.51170936363
"1230240",3387.01212604784
"1209210",10.9485329786642
"1209085",1438.27126010844
"1236185",0
"1224395",161.394808282893
"1224385",0
"1206005",0
"1224365",1288.2157474605
"1206050",1192.38942689751
"1224440",1800.19579335411
"1224355",1443.76613644634
"1206125",1667.27448198447
"1206160",1223.50239656964
"1209315",2020.24280058037
"1209425",6438.16902343985
"1221035",257.782686488557
"1206120",1574.06226252758
"1206075",2104.05424784418
"1206060",1028.30692189537
"1206320",330.607380858045
"1224130",495.830790534341
"1206375",151.952332740477
"1206340",459.750619497171
"1206355",0
"1206330",0
"1206385",0
"1206380",213.962380455546
"1224035",0
"1224025",0
"1224050",0
"1224140",393.117672312793
"1224150",438.027844308507
"1224040",0
"1221280",224.780786504888
"1224070",0
"1224100",0
"1224010",0
"1224105",0
"1224055",0
"1224060",137.246012122155
"1224115",0
"1224045",0
"1224020",0
"1224090",401.703965798724
"1224095",0
"1224075",0
"1224085",0
"1224080",0
"1224015",0
"1224065",0
"1224030",0
"1215370",876.259636195776
"1215275",2240.95632243715
"1215440",1306.37512196482
"1215265",3493.34160546405
"1230210",1976.56903467537
"1230220",2030.20093841247
"1224185",0
"1224145",575.080571912967
"1215185",261.769276559661
"1215255",2995.96762015302
"1215320",599.120164456986
"1215325",389.412526361004
"1215310",1324.94389764004
"1215335",878.236299557959
"1215425",874.619530805404
"1215315",1157.71456217153
"1215210",4411.52671813359
"1215110",1582.72123751666
"1215180",0
"1215175",131.051090572596
"1215190",1040.39829983441
"1215230",3119.1089241625
"1215270",3192.63733674675
"1215205",4029.94813746995
"1224265",770.492459869272
"1224285",546.72910012912
"1224270",827.114424729675
"1215155",1588.03526467083
"1215105",2315.70070341883
"1215170",433.297661272283
"1215095",3681.10707512103
"1215150",1092.87422441368
"1224480",1661.51056796428
"1224345",1025.32385909806
"1224405",2229.90640812433
"1224430",2358.1148483137
"1224490",1984.21340932626
"1224475",1816.9715359613
"1224425",3088.40714373857
"1224435",2140.7112949159
"1224235",37.5414704004029
"1224325",632.660230504296
"1224215",1706.74417891039
"1224205",1791.35365990088
"1224370",517.948283773394
"1224375",0
"1224340",508.37423816541
"1224210",1019.08474446055
"1224275",962.335183334284
"1224225",717.491685814511
"1224230",15.3629381286793
"1224240",0
"1224200",1790.78171783644
"1224315",0
"1224135",292.002521633021
"1224310",22.4493156557348
"1206310",429.508842811277
"1224280",923.601851409018
"1224260",0
"1224160",0
"1224195",562.15298449399
"1224255",0
"1224250",0
"1224190",288.160536109145
"1212210",6594.70102198338
"1212190",4828.96761140232
"1212270",7456.195513323
"1212235",6087.91120793627
"1212310",7303.82305798488
"1212350",3743.69470419682
"1212340",4976.59601056618
"1212345",4501.23852392317
"1212140",2843.62263804123
"1212170",1547.52670848397
"1212165",1221.02022104013
"1212135",3480.95584672061
"1212335",5664.34636217462
"1212220",7017.91582934598
"1212295",6042.89066771253
"1212255",7498.51881603298
"1212075",0
"1212045",1449.69882366624
"1212080",0
"1212070",1712.94581067326
"1212060",3818.71350031721
"1212065",2698.56134224547
"1212125",3793.80413200405
"1212085",0
"1224450",2880.89301305247
"1224415",2817.83841664857
"1224410",2946.93547912974
"1224445",1994.21683619806
"1224470",2967.64683949675
"1224485",3082.52650185329
"1224460",3713.64582822274
"1224495",3302.08614015688
"1206080",2141.85308925538
"1236150",423.666615270821
"1206150",0
"1206085",1681.25866235378
"1206155",287.572828490377
"1236165",205.135148954822
"1206180",1960.18762052495
"1206165",1003.6640894449
"1233310",2720.50512649039
"1233330",2871.08317144065
"1233415",2396.86333737753
"1233380",1103.82677410159
"1233325",2812.78699970545
"1233395",1027.70679712938
"1236140",0
"1236175",0
"1230415",0
"1233240",2955.92106428655
"1233170",4274.67737864778
"1233270",41.4499613619603
"1233220",4228.21796707701
"1233140",445.354891278127
"1233215",4293.33368623105
"1233235",3471.75512120203
"1215490",42.176430195898
"1233230",3857.15961765961
"1233160",4348.63117626836
"1233150",3441.41262430938
"1230150",6509.46847488828
"1233225",3899.99317285885
"1233280",992.818941919286
"1233275",346.359542085144
"1206265",0
"1206275",0
"1206280",0
"1206290",0
"1206325",0
"1206260",685.086784054051
"1206300",376.801524469294
"1206305",565.14487537151
"1206245",0
"1206230",663.20110987536
"1206295",714.013246565314
"1206250",0
"1206255",685.165967211948
"1206285",0
"1206270",0
"1206220",1870.30691231245
"1206190",546.908806299218
"1206215",2797.79961490064
"1206240",1.54709914322966
"1206195",0
"1233155",2797.63540565708
"1206210",2287.64802645495
"1206225",1618.62572347629
"1206235",0
"1233345",1408.44456089762
"1206205",0
"1206175",0
"1206170",56.7705525372675
"1206185",1067.255876525
"1206145",1028.01681343283
"1233410",1684.45866831003
"1206200",0
"1203120",969.615489764898
"1203150",1355.69396080131
"1203160",2785.70221351076
"1230235",216.529793443525
"1203125",1274.30651741962
"1203175",2168.31359007329
"1233350",1373.57235052773
"1203155",2396.83837259723
"1215235",2102.50046573046
"1221180",1706.4425591816
"1230225",1083.37397773869
"1215330",9.04619918221167
"1230205",2994.39367617727
"1230215",2208.20632224905
"1230245",2456.08220058286
"1230190",2866.39636866421
"1221155",1238.1005219174
"1221200",14.4401229474864
"1221145",1285.61406981195
"1221125",927.898846173001
"1221210",1598.69099154239
"1221060",0
"1221165",2135.68515929329
"1221205",769.00494288487
"1221090",0
"1221085",0
"1221065",0
"1221055",0
"1221080",0
"1221075",0
"1221095",998.516156911469
"1221070",0
"1236080",1371.31366054059
"1236070",1464.44318421821
"1221265",0
"1236085",1236.59651707026
"1221270",0
"1221275",0
"1236125",0
"1221285",368.934714958873
"1236020",892.671501758061
"1236050",1834.51962584541
"1236045",1225.29550750016
"1236055",1431.50140588528
"1236060",719.955345792238
"1236075",1846.41005092889
"1236065",1425.38005277817
"1236040",153.867964021404
"1233455",1112.15180642261
"1233460",1881.74177883931
"1236010",2338.52947813695
"1236005",1331.92256250937
"1236035",0
"1236030",0
"1236025",350.195272497658
"1236015",1557.04042566918
"1233365",0
"1233355",683.028335213107
"1233205",1807.33767931157
"1233295",2735.74592777811
"1233420",2880.49795226283
"1233315",3901.82224308395
"1233175",3616.78549183122
"1233190",3387.36907546967
"1209600",6174.59837827005
"1218195",436.720587931408
"1209515",3903.8842009043
"1209590",6882.60240796947
"1212355",3587.11997978589
"1209535",2898.49438102249
"1209605",5139.50928941923
"1209530",3325.30216476183
"1209575",6808.42368308244
"1209550",7424.03221203287
"1209585",7740.09078518088
"1209510",5705.49598692492
"1209310",3303.50442855978
"1209540",6251.20216421216
"1209525",3804.25989393652
"1209580",7230.60384882036
"1209340",4755.48229087777
"1209355",5307.29825324101
"1209330",4029.20600716645
"1209335",4457.68384571698
"1209520",4302.99872577939
"1209325",2948.22163274446
"1209445",5416.08233658372
"1209595",4660.81151070948
"1209420",5855.12773342291
"1209155",1988.77893301251
"1209370",4983.38867024715
"1209430",5478.01182372795
"1209435",4930.98777291884
"1209365",4614.10078905641
"1209555",7458.34185169128
"1209375",5727.0412518834
"1239150",525.092598863403
"1209385",3443.63338796394
"1239130",1656.64799060767
"1239120",1460.25114756601
"1212620",5945.51553659775
"1239170",247.248686849741
"1212640",6851.75970903249
"1212685",3823.86366623166
"1209135",1256.32108611757
"1239155",49.7659007153789
"1239030",1952.21154405571
"1239125",1067.72258417991
"1239060",8.84002358337981
"1239140",1124.64979306948
"1239145",0
"1239135",1989.88759545614
"1239020",1791.97019749688
"1239035",873.599269721669
"1239095",0
"1239040",1317.12952183797
"1239090",304.448125039625
"1239085",1083.39737976887
"1239025",2126.43865775377
"1212325",7792.87341732264
"1209500",6013.97520036796
"1209615",3264.90177393651
"1239010",1253.11071111765
"1209610",4330.0429385508
"1239015",1321.31181999383
"1209345",4425.29599718259
"1239045",2577.19535851492
"1239005",621.55293921439
"1227245",1408.02391390026
"1227415",8.60975675225838
"1227200",1903.92306594267
"1227400",1111.61335626397
"1227325",0
"1227375",1812.53368961044
"1227265",1168.84158330396
"1227450",1148.88161846134
"1212710",5141.5836974642
"1227145",0
"1227260",1051.803130028
"1227230",3704.01981871524
"1212145",1647.84298922216
"1227395",1317.7059863048
"1227205",2808.72497359603
"1227420",2100.31844301294
"1227090",3877.97546626655
"1227035",2126.19834424949
"1227150",0
"1227105",3224.59286296489
"1227235",3059.80246698251
"1227215",2954.72405267335
"1227240",2194.90652499245
"1227220",3709.70827802594
"1212680",4715.98460879661
"1212670",6264.17705910803
"1212720",5133.60203035419
"1212695",2935.47164943884
"1227015",635.125660494146
"1227055",3275.78935178531
"1227080",4786.56270201948
"1227020",2049.71866540893
"1227580",937.585794607989
"1227625",76.768692424773
"1203165",915.070125940482
"1227680",342.1327583444
"1239110",473.242573412768
"1212525",7839.8432080513
"1227645",0
"1227345",0
"1227525",0
"1227465",2085.65225748416
"1227430",0
"1227545",0
"1227510",0
"1227535",0
"1227665",0
"1227620",261.265942603843
"1227285",0
"1227360",1284.34828969489
"1227280",233.131162893183
"1227355",255.129295735279
"1227075",4764.37609384794
"1227405",15.1278724957283
"1227370",787.617083274017
"1227340",979.786261092664
"1227305",0
"1227385",2390.87153341654
"1227455",2219.24140777753
"1227410",0
"1227300",79.9808567279411
"1227270",1326.95264306524
"1227380",1560.46858964171
"1227320",134.821082307932
"1230315",1697.84976642625
"1230345",4056.04625001496
"1230330",2539.78027851558
"1230320",832.546860403365
"1215035",4011.98281760629
"1230185",4676.59933253081
"1215030",2968.68740883142
"1215080",6089.25325050326
"1233375",1172.57499235767
"1230475",2820.79024880119
"1206140",1448.57965081313
"1236145",349.713219731469
"1221220",20.9148017871947
"1221005",0
"1230110",399.603298190738
"1230100",0
"1230360",1854.77387437792
"1212405",7530.9837702774
"1212225",5846.39570485004
"1230430",300.422861977642
"1230395",1402.21574872576
"1233260",661.473512445465
"1233285",1508.9501038118
"1233265",0
"1212440",6205.35606482541
"1212365",5855.57813470048
"1212330",5950.55264341733
"1212430",6068.21297669133
"1212385",8878.68982540865
"1212380",8096.54481609247
"1212435",6042.35228104001
"1212420",6325.9197194704
"1218045",0
"1218050",427.421180331412
"1206315",633.776382956074
"1218075",0
"1206345",0
"1206335",624.574821555275
"1206365",0
"1206350",0
"1230440",0
"1230375",4456.42464328759
"1230650",0
"1230445",387.377754802216
"1224220",1723.76080268858
"1218030",53.2640568269607
"1218040",1.99605313629165
"1218035",0
"1233180",4490.06570896364
