gnd_id,evapotranspiration
"1212625",1837.73024332068
"1239245",1814.54050635598
"1212705",1840.5
"1239190",1817
"1212675",1838.45942435141
"1212605",1842.5
"1239175",1823.52535748445
"1212715",1838.81840751372
"1239180",1814.5
"1212725",1831
"1239185",1804.8773671389
"1239240",1805.5721682316
"1215450",1834.5
"1215445",1836.34988274528
"1215350",1838.5
"1215565",1844.07135580434
"1224465",1827.28324450671
"1215380",1841.842526543
"1224500",1826.28601836842
"1224455",1832
"1215375",1841.66666666667
"1215345",1837.24321072856
"1215340",1836.02232068711
"1215360",1835.27360693988
"1215430",1836.07833180245
"1227530",1837.84158371436
"1227570",1833.5
"1215415",1831.76758116875
"1227485",1838.26431524205
"1209470",1839.22353190092
"1227540",1833.17942019311
"1227435",1815.26136521277
"1227295",1845.16014521686
"1227490",1840
"1227550",1833.98275655326
"1215435",1836.66542240065
"1227690",1829.02432698748
"1227585",1822
"1209295",1832.6338523402
"1209460",1840.5
"1209465",1837.33333333333
"1209450",1836.56708388149
"1209305",1831.5
"1209495",1834
"1233430",1839.16637325334
"1233125",1828.74727706479
"1233440",1835.49673058245
"1233385",1832.6740657175
"1233435",1836.98890614185
"1230285",1829.48619790687
"1233445",1833.37114264386
"1233400",1835.06879620415
"1227740",1832
"1227735",1835.4457476474
"1227730",1835
"1212115",1840.43252135385
"1227725",1832
"1227720",1836.69891998651
"1233185",1824.5
"1233320",1830.59601337531
"1212050",1842.93580809374
"1212035",1848.25
"1227675",1832.5
"1212540",1837.20564312098
"1227595",1809
"1227685",1833.18037182249
"1227600",1821.5
"1212130",1841.55299147419
"1212010",1851.8
"1224505",1829
"1212015",1845.8
"1212005",1848
"1212020",1843.98481168212
"1212025",1842.5
"1212030",1847.98325295141
"1212040",1847.5
"1227120",1837.94303933222
"1212515",1825.17555244946
"1227310",1841.44592541282
"1227135",1835.28830939884
"1209455",1836.93211848761
"1227560",1830.69415839893
"1227715",1838.5
"1209475",1839.5
"1227060",1847.23657167065
"1227050",1846.61699177015
"1227125",1833.87392985939
"1227040",1838.13837580964
"1227575",1836.12530720356
"1227225",1831.96006929739
"1233390",1833.79806914513
"1227330",1840.62799043114
"1227030",1838.61490845241
"1227630",1837.44176363934
"1227640",1835.09821663074
"1227070",1844.33333333333
"1227065",1847.12774589953
"1227025",1835.2245011847
"1224420",1833.26339465461
"1227045",1843.09924897672
"1236100",1830.79758659706
"1233450",1834.30177258509
"1227140",1834.33333333333
"1227085",1841.0791202632
"1236120",1824.83437053649
"1215560",1836.5
"1236090",1821.40954173166
"1236115",1828.52025356092
"1215505",1841.23149581426
"1215605",1838.67000551732
"1215515",1836.78479438325
"1215600",1839.93254641538
"1233035",1829.5
"1233045",1835.66666666667
"1221025",1832.5
"1206390",1858.29987746631
"1230665",1822.66666666667
"1230640",1822.11662455146
"1218010",1870.33333333333
"1218005",1860.5
"1218020",1871.551674853
"1218015",1874.4
"1215520",1839.5
"1218025",1872
"1230170",1821.85231343275
"1230175",1821.90097464573
"1230270",1826.33333333333
"1230230",1825.10035370565
"1230305",1820.9608304625
"1230040",1835.7074831512
"1230645",1823
"1230310",1823.85886008547
"1212590",1842.5
"1227315",1840.6646875278
"1212660",1832.61498127312
"1212665",1830.5
"1209090",1840.5
"1212740",1832.40991094349
"1230010",1833
"1209095",1840.21710694083
"1209250",1843
"1227605",1833.33333333333
"1221110",1829.53060108064
"1221105",1825.36977526546
"1221120",1859.5
"1221115",1847.47834452556
"1221140",1838.5
"1221130",1835.86866920446
"1212550",1841.5
"1206045",1842.91136546066
"1212520",1830.10343855809
"1212575",1842.72431693778
"1212530",1834.6577268833
"1212700",1842.31005412704
"1227705",1835.44791841632
"1227695",1838.5
"1209395",1835
"1227290",1846
"1227515",1838.86829606226
"1227565",1835.36669438159
"1209030",1841.66666666667
"1227195",1838.74525749554
"1212185",1831.12359402112
"1212200",1839.26109954429
"1209290",1832.8
"1209150",1830.66666666667
"1227335",1836.5
"1227445",1830.5
"1209170",1832.63092563311
"1227425",1803.16666666667
"1227500",1836.40338562522
"1227505",1834.25132483527
"1212615",1845.99728179302
"1209300",1831.84983773915
"1209560",1832.32040229902
"1236180",1822.68073766012
"9230070",1814.75
"0",1861.29318148033
"9230035",1787.25
"9233005",1759.875
"1230195",1830.22547403045
"1206100",1842.5
"1206110",1844.06571477695
"1206105",1843.49290329191
"1206095",1839.25008017341
"1206090",1836
"1212195",1839.66565646567
"1206115",1842.82326110147
"1230335",1827
"1203105",1850.75356947674
"1230250",1822.5
"1230340",1822.0221407078
"1230295",1818.66666666667
"1230255",1824.66666666667
"1230260",1828.5
"1230200",1829.97527588993
"1221100",1835.95797151008
"1221135",1834.57173730376
"1221240",1832.79256516734
"1221260",1836
"1221230",1853
"1221185",1852.51555916455
"1203085",1845.99628315901
"1203080",1848.94692358088
"9215130",1799
"9209010",1792.66666666667
"9218160",1813.75148663003
"9218170",1818.66666666667
"9221040",1791.66666666667
"9212155",1808.45594591192
"9227160",1733.85714285714
"9224095",1773.33333333333
"9230150",1808.75
"9233065",1719.91666666667
"9233120",1686.625
"9233130",1486.64864864865
"9230175",1811.25
"9233125",1553.5
"9215115",1814
"9230180",1797
"9233010",1750.25
"9215035",1840.16824146542
"9224025",1790.25
