gnd_id,precipitation
"1212625",184.833184374964
"1239245",190.039181643778
"1212705",169.5
"1239190",161.5
"1212675",168.130340169055
"1212605",177
"1239175",172.304907050644
"1212715",171.239733912027
"1239180",169.5
"1212725",194
"1239185",167.103559912328
"1239240",188.200845364853
"1215450",150
"1215445",146.016021593293
"1215350",158.5
"1215565",140.891220280804
"1224465",179.570565160617
"1215380",165.343846578884
"1224500",184.051636511857
"1224455",169.184226430114
"1215375",166.333333333333
"1215345",158.056348404254
"1215340",155.11628145147
"1215360",162.181203915183
"1215430",147.898030198962
"1227530",190.010228061138
"1227570",199
"1215415",154.712597406543
"1227485",190.084922760257
"1209470",160.482666137378
"1227540",192.258276372055
"1227435",210.454509028469
"1227295",166.598444108175
"1227490",186.228312227054
"1227550",196.060740372722
"1215435",146.81385291804
"1227690",183.414835444284
"1227585",212.25
"1209295",147.128546140334
"1209460",164.5
"1209465",163.333333333333
"1209450",167.477202364147
"1209305",143
"1209495",153.666666666667
"1233430",148.977074981388
"1233125",197.404939635002
"1233440",151.941557121065
"1233385",159.977130131786
"1233435",149.429779550969
"1230285",217.391810188418
"1233445",152.814747063967
"1233400",156.504257026731
"1227740",199.5
"1227735",200.39403101712
"1227730",202.5
"1212115",171.991009521714
"1227725",212
"1227720",206.792012509378
"1233185",195
"1233320",175.528639264124
"1212050",165.889229974562
"1212035",169
"1227675",184
"1212540",180.944618417258
"1227595",220.5
"1227685",180.340572355237
"1227600",215
"1212130",176
"1212010",160.4
"1224505",183
"1212015",163.6
"1212005",158.75
"1212020",163.146435945692
"1212025",162
"1212030",165.023758474965
"1212040",167
"1227120",175.536647313868
"1212515",188.228186078987
"1227310",174.036042315378
"1227135",170.420136204069
"1209455",165.631224284747
"1227560",197.09958896834
"1227715",205
"1209475",158.5
"1227060",179.594878445624
"1227050",178.362455720481
"1227125",172.218481008837
"1227040",173.745534627463
"1227575",204.780287084118
"1227225",189.159718299172
"1233390",158.993684606529
"1227330",176.627748834353
"1227030",172.267503195865
"1227630",194.851584647261
"1227640",193.901781006507
"1227070",184.333333333333
"1227065",181.339616737701
"1227025",171.838392104592
"1224420",170.66987733886
"1227045",176.027889435713
"1236100",149.52144560888
"1233450",151.990257162524
"1227140",168.666666666667
"1227085",185.950285087196
"1236120",142.109245402698
"1215560",145
"1236090",153.507698771257
"1236115",143.84818587147
"1215505",162.873751686306
"1215605",155.377470387048
"1215515",160.60412708739
"1215600",152.691403794631
"1233035",190.5
"1233045",195
"1221025",138.5
"1206390",134.965510344029
"1230665",216
"1230640",207.684897750151
"1218010",130.666666666667
"1218005",130
"1218020",135.976247325282
"1218015",133
"1215520",158
"1218025",134
"1230170",223.94317170289
"1230175",224.385833148308
"1230270",210
"1230230",206.138062407337
"1230305",226.991901434103
"1230040",207.948152048997
"1230645",207.5
"1230310",223.759336032079
"1212590",172.5
"1227315",175.271148814838
"1212660",190.002107510384
"1212665",192.25
"1209090",146
"1212740",193.069050927616
"1230010",201
"1209095",146.916147588762
"1209250",166
"1227605",208
"1221110",142.781340249414
"1221105",144.088079212415
"1221120",138.5
"1221115",140.174724595023
"1221140",149
"1221130",141.877591919059
"1212550",175
"1206045",130.208002603875
"1212520",187.521537654052
"1212575",170.132561982494
"1212530",184.837934970751
"1212700",171.43277509225
"1227705",197.980021300497
"1227695",194.5
"1209395",169
"1227290",167
"1227515",184.046183595187
"1227565",201.385126718105
"1209030",143
"1227195",182.890183693179
"1212185",180.163453953078
"1212200",173.522192845511
"1209290",148
"1209150",140.333333333333
"1227335",179.5
"1227445",199.5
"1209170",145.953939950667
"1227425",212.833333333333
"1227500",181.674650003288
"1227505",180.240127097479
"1212615",180.999093471346
"1209300",145.046773917541
"1209560",156.10679947565
"1236180",148.646630636951
"9230070",239.25
"0",3.58333333333333
"9230035",243.333333333333
"9233005",231.5
"1230195",217.595359206773
"1206100",132
"1206110",127.844158876323
"1206105",129.400792491726
"1206095",132.982024723952
"1206090",135
"1212195",175.428906145936
"1206115",125.88576622862
"1230335",206.5
"1203105",111.314436117069
"1230250",199.5
"1230340",202.25950253276
"1230295",228.333333333333
"1230255",201.666666666667
"1230260",203
"1230200",216.960118930471
"1221100",145.157547226416
"1221135",143.583443214971
"1221240",148.200640815291
"1221260",158
"1221230",141.5
"1221185",140.769092459521
"1203085",123.47853018323
"1203080",83.7293618927497
"9215130",182
"9209010",170.666666666667
"9218160",190.541542430581
"9218170",189
"9221040",220.166666666667
"9212155",179.665456098931
"9227160",224.214285714286
"9224095",212.333333333333
"9230150",259.25
"9233065",241.666666666667
"9233120",247.125
"9233130",185.972972972973
"9230175",261
"9233125",206.166666666667
"9215115",186.5
"9230180",271
"9233010",233.125
"9215035",171.625525728093
"9224025",205
"9209270",180.5
"9218390",213
"9209275",176
"9233060",245.333333333333
"9212285",194.666666666667
"9230080",235.5
"9230095",248.333333333333
"9203340",159
"9230075",243.5
"9206015",153.666666666667
"9203390",161.5
"9203400",165.823504331531
"9203410",161.666666666667
"9206125",160.119751044479
"9206115",158.555790395064
"9206210",152.666666666667
"9212095",172
"9212140",176.198769543455
"9206235",161.333333333333
"9224045",217
"9215240",210.5
"9218310",197.4
"9218295",204.2
"9209215",174.5
"9212250",193.115532956253
"9212055",177
"9203440",168.229295209978
"9206130",161.0372141579
"9215200",199.333333333333
"9215230",206.25
"9218365",206.666666666667
"9221010",212.5
"9218375",212
"9206335",167.140770702339
"9209305",167.25
"9215205",201.136657867453
