gnd_id,nighttime_lights
"8124120",6.25
"2121215",6
"2121210",5.66666666666667
"2121200",7
"2121195",7
"2121190",3.35714285714286
"2121185",4.83333333333333
"2121180",7.5
"2121205",5.27272727272727
"2121220",5.33333333333333
"2121170",9
"2121175",8
"2121165",7.25
"2121140",8.66666666666667
"2121160",4.6
"2121145",6.16666666666667
"2121155",6.33333333333333
"2121125",7.5
"2121150",7
"2121120",6.5
"2121135",7.28571428571429
"2121040",5.66666666666667
"2121060",6
"2121070",6.33333333333333
"2121110",6.75
"2121055",4.61538461538461
"2121095",6
"2121005",0
"2121050",0.555555555555556
"2121010",0.625
"2121045",1.5
"2121080",6.6
"2121035",6
"2121030",6.2
"2121015",6
"2121025",6
"2121020",5.66666666666667
"2121235",2.66666666666667
"2121075",6
"2121065",7
"2121090",6.75
"2121085",6.33333333333333
"2121230",6
"2121225",5.2
"2139335",9.5
"2139500",11.4931644506762
"2139520",13.7734903049935
"2139525",14
"2139475",14.5164592296917
"2139485",13.8985355426136
"2139465",15
"2139460",15.0003629595532
"2139380",15.0513810739848
"2139555",14.3093755819389
"2139425",15
"2139440",16
"2139390",16.6134563708322
"2139265",15.7478606485238
"2139275",16.1805994208072
"2139295",15.2530696583281
"2139290",16
"2139285",16.0034453573047
"2139120",18.8553117941887
"2139175",16.7341568747841
"2139110",16.4808901609816
"2139180",16.1271828530205
"2139260",15.0284796366334
"2139210",9.58971453412665
"2139195",12.9452569421171
"2139255",13.7996075075107
"2139320",14.6770572830928
"2139375",15
"2139370",14.5469784605588
"2139105",15.7620005064521
"2139240",9.66991151259231
"2139245",10.395052616657
"2139235",9
"2139205",10.5875539214841
"2139200",12.6137672608069
"2139455",15.6806997967992
"2139470",15.0248304899348
"2139450",16
"2139585",15.5906986321915
"2139480",14.1894919901901
"2139145",19
"2139420",15.3943450044754
"2139410",15.6884542995703
"2139215",11.1826653259692
"2139075",11.4034141426854
"2139080",12.2071035691047
"2139045",14.6610629591076
"2139085",13.5640049685579
"2139040",15.505581205313
"2139035",16.7012012766341
"2139090",14.0372976887996
"2139010",19.6157632876802
"2139030",17.7848266708215
"2139005",18.8398518661185
"2139015",21.2266413710444
"2139025",19.0771056154264
"2139020",21.9732918626903
"2139115",18.5
"2139125",20.922629605615
"2139135",21.4218382626392
"2139165",17.0962727239485
"2139160",17.1145925931409
"2139130",21.6457776688661
"2139140",19.6555261468619
"2139150",15.6750940038989
"2139100",14.0302072635406
"2139270",16.1075635422138
"2139170",16.5
"2139360",13.1491570731427
"2139365",14.2090803484496
"2139330",12
"2139325",13.0460348376366
"2139315",15.8502362890491
"2139385",15.2770559944697
"2139310",16.4343520443685
"2139305",16.932707890685
"2139400",16.2252858468087
"2139280",16.0002697158413
"2139300",16.4002218783531
"2139515",12.5531020996894
"2139615",13.7584893778008
"2139600",14.2109464961226
"2139605",14.8745109506165
"2139595",14.7459602427844
"2139530",14.921824901807
"2139590",15.8556645981838
"2139535",15.0622387779885
"2139575",15.163121216516
"2139570",13.8719957539118
"2139550",15.0808917441358
"2139435",15.9984162532375
"2139565",14.1611551410813
"2139560",14.503367154261
"2139545",15.8488481287313
"2139355",12.6963416856672
"2139345",11.9509205295498
"2139395",16.3719655126708
"2139405",16
"2139350",11.1170438660346
"2139095",15.745157223137
"2139190",13.8045709901237
"2139185",14.096206510111
"2139495",12.9521490617421
"2139490",12.1758940835712
"2139415",15
"2139540",15.778302680813
"2139445",15.5300265385995
"2134150",9.44664113456122
"2134130",6
"2134195",7.99018846606984
"2134080",7.5
"2134090",8.8090972938701
"2134190",8.44452747910348
"2134185",9
"2134215",8.19706864724125
"2134225",8.82664769359849
"2134175",9
"2134230",7.5
"2134240",8.52930157072597
"2134085",8.29078491535199
"2134170",8.18773809634714
"2134245",7.5
