gnd_id,vegetation
"1212625",229
"1239245",213
"1212705",221
"1239190",186
"1212675",221
"1212605",222.309649175596
"1239175",186
"1212715",221
"1239180",186
"1212725",229
"1239185",186
"1239240",213
"1215450",206
"1215445",206
"1215350",206
"1215565",206
"1224465",227
"1215380",221
"1224500",227
"1224455",188
"1215375",221
"1215345",206
"1215340",206
"1215360",220.029810140309
"1215430",206
"1227530",222.024093157007
"1227570",229.000804802758
"1215415",206
"1227485",222.880108236837
"1209470",234
"1227540",229
"1227435",229
"1227295",221
"1227490",221
"1227550",229
"1215435",206
"1227690",227
"1227585",230.961891939287
"1209295",206
"1209460",234
"1209465",234
"1209450",234
"1209305",206
"1209495",226.877124320549
"1233430",186.381158222914
"1233125",227
"1233440",186.058442896126
"1233385",186.138517736938
"1233435",186
"1230285",230.224833111252
"1233445",186
"1233400",186
"1227740",231
"1227735",231
"1227730",231
"1212115",228
"1227725",231
"1227720",231
"1233185",213.199628765877
"1233320",186.080170079383
"1212050",228
"1212035",228
"1227675",227
"1212540",229
"1227595",231
"1227685",227
"1227600",231
"1212130",228
"1212010",237
"1224505",227
"1212015",233.935120189425
"1212005",236.059356750591
"1212020",233.427472678295
"1212025",230.402321241083
"1212030",228.061190755682
"1212040",228.775540805375
"1227120",221
"1212515",229
"1227310",221
"1227135",221
"1209455",234
"1227560",229
"1227715",231
"1209475",234
"1227060",221
"1227050",221
"1227125",221
"1227040",221
"1227575",230.971928250804
"1227225",229
"1233390",186
"1227330",221
"1227030",221
"1227630",230.852772352825
"1227640",230.901780995364
"1227070",228.836892199872
"1227065",222.353532251212
"1227025",221
"1224420",188
"1227045",221
"1236100",186
"1233450",186
"1227140",221
"1227085",229
"1236120",255
"1215560",206
"1236090",186
"1236115",255
"1215505",205.460483538945
"1215605",203.624426708185
"1215515",194.517281566665
"1215600",198.820721648168
"1233035",227
"1233045",227
"1221025",225.409981488554
"1206390",255
"1230665",213
"1230640",213
"1218010",255
"1218005",255
"1218020",255
"1218015",255
"1215520",196.301365184757
"1218025",255
"1230170",231
"1230175",231
"1230270",226.526311261378
"1230230",227.358874106811
"1230305",230.54399801382
"1230040",231
"1230645",213
"1230310",228.347689665539
"1212590",221
"1227315",221
"1212660",229
"1212665",229
"1209090",206
"1212740",229
"1230010",227
"1209095",206
"1209250",233.998411466682
"1227605",231
"1221110",255
"1221105",215.368093817616
"1221120",255
"1221115",255
"1221140",188
"1221130",255
"1212550",221
"1206045",255
"1212520",229
"1212575",221
"1212530",229
"1212700",221
"1227705",231
"1227695",227.879285076562
"1209395",234
"1227290",221
"1227515",221.705908282401
"1227565",229.997305812561
"1209030",206
"1227195",221
"1212185",228
"1212200",228
"1209290",206
"1209150",206
"1227335",221
"1227445",229
"1209170",206
"1227425",229.00004932979
"1227500",221
"1227505",221
"1212615",229
"1209300",206
"1209560",234
"1236180",208.823244258456
"9230070",226.199749797223
"0",255
"9230035",210
"9233005",211.470263854414
"1230195",231
"1206100",255
"1206110",255
"1206105",255
"1206095",255
"1206090",213.143538153449
"1212195",228
"1206115",255
"1230335",214.44389157814
"1203105",255
"1230250",223.996228970792
"1230340",214.013165640449
"1230295",231
"1230255",226.784213934008
"1230260",227
"1230200",231
"1221100",189.382829875039
"1221135",222.593464904621
"1221240",188
"1221260",188
"1221230",255
"1221185",255
"1203085",255
"1203080",255
"9215130",234
"9209010",226.56477358532
"9218160",229
"9218170",228.999395115943
"9221040",229.693145380233
"9212155",234
"9227160",234
"9224095",235.159910837289
"9230150",228.098938017588
