gnd_id,population_density
"1212625",858.586452905131
"1239245",2321.94798495229
"1212705",1727.06829833984
"1239190",3640.79577636719
"1212675",1301.30001904087
"1212605",779.461151123047
"1239175",1915.9064612769
"1212715",2303.02227664331
"1239180",2057.63702392578
"1212725",796.921244303385
"1239185",2656.05483383486
"1239240",2913.98000619168
"1215450",1249.48028564453
"1215445",2042.13367531785
"1215350",1231.685546875
"1215565",1995.64816068856
"1224465",1604.15112204578
"1215380",1249.74175326068
"1224500",1823.96350092071
"1224455",3768.53941281866
"1215375",1079.3388671875
"1215345",1025.84839426321
"1215340",1263.23306197565
"1215360",1930.85926380229
"1215430",1745.1911150131
"1227530",1090.78256752382
"1227570",810.774444580078
"1215415",1655.97023790522
"1227485",1490.06479044473
"1209470",350.105177039531
"1227540",1722.38533111686
"1227435",477.621654657219
"1227295",1143.30924413179
"1227490",801.146804357601
"1227550",733.579017612572
"1215435",2229.00134499705
"1227690",1178.70617119537
"1227585",359.665988922119
"1209295",1015.05288349243
"1209460",690.117614746094
"1209465",322.948527018229
"1209450",619.667636097926
"1209305",1110.01501464844
"1209495",737.535583496094
"1233430",7244.26128601117
"1233125",904.72124943713
"1233440",6511.136757873
"1233385",5057.6220074355
"1233435",7506.11617628721
"1230285",947.750025104322
"1233445",5213.20601971504
"1233400",4976.64224812104
"1227740",942.323272705078
"1227735",855.678898660546
"1227730",700.836456298828
"1212115",1386.69161452782
"1227725",556.179351806641
"1227720",595.427151667057
"1233185",712.9853515625
"1233320",2846.21265016859
"1212050",590.46803354766
"1212035",311.012786865234
"1227675",1049.77096557617
"1212540",1079.80181419575
"1227595",372.944900512695
"1227685",1539.90124925337
"1227600",641.357543945312
"1212130",1359.60464215681
"1212010",365.185559082031
"1224505",1611.60668945312
"1212015",594.969177246094
"1212005",620.38395690918
"1212020",640.996610962752
"1212025",386.6240234375
"1212030",940.083908644864
"1212040",500.534057617188
"1227120",1833.1471929764
"1212515",1209.20866942485
"1227310",1364.39860045985
"1227135",1512.19007687409
"1209455",735.521644209024
"1227560",1061.77494977525
"1227715",609.210876464844
"1209475",601.249481201172
"1227060",988.542744255868
"1227050",1212.87636449332
"1227125",2786.74268514362
"1227040",1325.76224865991
"1227575",924.466285682093
"1227225",3049.96867400792
"1233390",5780.06296605024
"1227330",1800.94475281256
"1227030",1604.54363670283
"1227630",1773.90082758906
"1227640",3916.94130782077
"1227070",929.961669921875
"1227065",990.357083110455
"1227025",2824.68860238033
"1224420",2671.19797993711
"1227045",982.046661230272
"1236100",5425.23638517593
"1233450",6389.78764771613
"1227140",1180.32757568359
"1227085",1192.38862819364
"1236120",7906.14290972374
"1215560",1287.75500488281
"1236090",6640.87108996701
"1236115",6782.82115840853
"1215505",1981.38296875357
"1215605",1178.16957199281
"1215515",1925.65273295539
"1215600",980.640966717852
"1233035",641.938568115234
"1233045",805.962849934896
"1221025",2881.59582519531
"1206390",2421.49773775142
"1230665",971.308878580729
"1230640",680.670512971747
"1218010",1511.99397786458
"1218005",1411.68774414062
"1218020",1802.45632318984
"1218015",956.713818359375
"1215520",1310.99407958984
"1218025",1060.97891235352
"1230170",530.794491672859
"1230175",403.394461630415
"1230270",677.288370768229
"1230230",1006.54979814373
"1230305",724.808927996054
"1230040",614.094521942517
"1230645",541.90576171875
"1230310",619.984257104664
"1212590",1350.47839355469
"1227315",1328.41399506961
"1212660",1787.43896426676
"1212665",523.344284057617
"1209090",433.223876953125
"1212740",1006.10470340384
"1230010",530.18994140625
"1209095",968.457590552984
"1209250",500.219398498535
"1227605",679.466634114583
"1221110",3188.0351942895
"1221105",3103.29041590434
"1221120",3582.55346679688
"1221115",3769.87988970851
"1221140",2105.85034179688
"1221130",3876.63868242705
"1212550",1046.31762695312
"1206045",1512.86022563215
"1212520",1784.62692108126
"1212575",1360.14793932071
"1212530",1355.27141818588
"1212700",1784.0348194203
"1227705",1300.82136035034
"1227695",868.838256835938
"1209395",430.143112182617
"1227290",1033.19436645508
"1227515",1301.85933661309
"1227565",898.7400603531
"1209030",621.054992675781
"1227195",1618.47063615061
"1212185",936.115561633401
"1212200",1413.05208353395
"1209290",449.399859619141
"1209150",774.855021158854
"1227335",2034.46893310547
"1227445",555.252212524414
"1209170",849.948456341806
"1227425",289.704381306966
"1227500",3848.47511704597
"1227505",2907.42085102756
"1212615",933.000291771952
"1209300",1298.48928910527
"1209560",1917.06371486734
"1236180",7384.85762488755
"9230070",893.957382202148
"0",1621.72456359863
"9230035",222.082555135091
"9233005",236.993589401245
"1230195",927.789510162863
"1206100",1861.07006835938
"1206110",3405.82623986681
"1206105",2607.7600936006
"1206095",1522.7501274347
"1206090",1249.57214355469
"1212195",1267.479453864
"1206115",5075.18670115382
"1230335",623.787628173828
"1203105",7085.73748107726
"1230250",487.98876953125
"1230340",664.931187009454
"1230295",548.087046305339
"1230255",801.364481608073
"1230260",966.692901611328
"1230200",862.537537729878
"1221100",2488.39998573107
"1221135",3384.16337666495
"1221240",4925.70272476645
"1221260",3714.95666503906
"1221230",4019.27111816406
"1221185",4727.21567198164
"1203085",7079.78658348481
"1203080",10057.1060804929
"9215130",636.768524169922
"9209010",586.678873697917
"9218160",502.634419620018
"9218170",1031.08479817708
"9221040",393.241780598958
"9212155",1165.43614216369
"9227160",137.833607809884
"9224095",607.437276204427
"9230150",360.876724243164
"9233065",159.563168843587
"9233120",201.776229858398
"9233130",33.8233003358583
"9230175",279.682121276855
"9233125",55.3538168271383
"9215115",933.028137207031
"9230180",239.132227579753
"9233010",163.503141403198
"9215035",851.972282281403
