gnd_id,temperature
"1212625",26.8400057637046
"1239245",26.8999996185303
"1212705",26.8999996185303
"1239190",27.0500001907349
"1212675",26.8999996185303
"1212605",26.8999996185303
"1239175",26.977066642422
"1212715",26.9401013759533
"1239180",27
"1212725",26.6666666666667
"1239185",27
"1239240",26.8999996185303
"1215450",26.8999996185303
"1215445",26.9930736160656
"1215350",26.8999996185303
"1215565",27.0454051967016
"1224465",26.7999992370605
"1215380",26.9536625630724
"1224500",26.8092618305826
"1224455",26.8999996185303
"1215375",26.9333330790202
"1215345",26.9047414756856
"1215340",26.8999996185303
"1215360",26.8999996185303
"1215430",26.9220156886756
"1227530",26.8841380086333
"1227570",26.8499994277954
"1215415",26.8999996185303
"1227485",26.8999996185303
"1209470",26.8999996185303
"1227540",26.8597338066984
"1227435",26.5486564375888
"1227295",27
"1227490",26.8999996185303
"1227550",26.8882319060814
"1215435",26.9517872030932
"1227690",26.89986211593
"1227585",26.5250000953674
"1209295",26.9053473355897
"1209460",26.8499994277954
"1209465",26.8333326975505
"1209450",26.8261580818838
"1209305",26.9499998092651
"1209495",26.8999996185303
"1233430",27.1784663356314
"1233125",26.8377608840025
"1233440",27.102922537423
"1233385",27.0581946986822
"1233435",27.18939483806
"1230285",26.7999992370605
"1233445",27.1394459997774
"1233400",27.1000003814697
"1227740",26.7999992370605
"1227735",26.7999992370606
"1227730",26.7999992370605
"1212115",26.8434837121269
"1227725",26.7000001271566
"1227720",26.7986418715719
"1233185",26.75
"1233320",26.8999996185303
"1212050",26.8754268150395
"1212035",26.8499999046326
"1227675",26.8999996185303
"1212540",26.866537881344
"1227595",26.3750004768372
"1227685",26.8999996185303
"1227600",26.5500001907349
"1212130",26.776824326191
"1212010",27
"1224505",26.7999992370605
"1212015",26.8999996185303
"1212005",26.9749999046326
"1212020",26.8627997298451
"1212025",26.8999996185303
"1212030",26.9000908210734
"1212040",26.8999996185303
"1227120",26.9227451854898
"1212515",26.7124008936978
"1227310",26.948197688406
"1227135",26.8999996185303
"1209455",26.8435762404152
"1227560",26.8191280446039
"1227715",26.7999992370605
"1209475",26.8999996185303
"1227060",26.8999996185303
"1227050",26.9014326513079
"1227125",27
"1227040",27
"1227575",26.7987883753821
"1227225",26.7960063377727
"1233390",27.0988962664546
"1227330",26.8999996185303
"1227030",26.9924010837762
"1227630",26.8999995983061
"1227640",26.8999996185303
"1227070",26.8999996185303
"1227065",26.8999996185303
"1227025",26.9617793639522
"1224420",26.8999996185303
"1227045",26.9689026716402
"1236100",27.2159523303753
"1233450",27.1144843529603
"1227140",26.8999996185303
"1227085",26.8999996185303
"1236120",27.3592545238066
"1215560",27
"1236090",27.2000007629395
"1236115",27.3341422445157
"1215505",27
"1215605",27
"1215515",27
"1215600",27
"1233035",26.75
"1233045",26.8333326975505
"1221025",27.0500001907349
