gnd_id,land_cover_woodland,land_cover_grassland,land_cover_cropland,land_cover_wetland,land_cover_bareland,land_cover_urban,land_cover_water
"8124120",0.842105263157895,0.105263157894737,0.0526315789473684,0,0,0,0
"2121215",1,0,0,0,0,0,0
"2121210",0.538461538461538,0.230769230769231,0.230769230769231,0,0,0,0
"2121200",0.565217391304348,0.0434782608695652,0.391304347826087,0,0,0,0
"2121195",0.0526315789473684,0.263157894736842,0.684210526315789,0,0,0,0
"2121190",0.86,0.14,0,0,0,0,0
"2121185",0.75,0.1875,0.0625,0,0,0,0
"2121180",0.533333333333333,0.0666666666666667,0.4,0,0,0,0
"2121205",0.725,0.075,0.2,0,0,0,0
"2121220",0.181818181818182,0.0909090909090909,0.727272727272727,0,0,0,0
"2121170",0.545454545454545,0.227272727272727,0.227272727272727,0,0,0,0
"2121175",0.612903225806452,0.129032258064516,0.258064516129032,0,0,0,0
"2121165",0.833333333333333,0.166666666666667,0,0,0,0,0
"2121140",0.166666666666667,0.111111111111111,0.722222222222222,0,0,0,0
"2121160",0.955882352941177,0.0441176470588235,0,0,0,0,0
"2121145",0.9375,0.0625,0,0,0,0,0
"2121155",0.933333333333333,0.0666666666666667,0,0,0,0,0
"2121125",0.8,0.2,0,0,0,0,0
"2121150",0.714285714285714,0.285714285714286,0,0,0,0,0
"2121120",0.933333333333333,0.0666666666666667,0,0,0,0,0
"2121135",0.136363636363636,0.181818181818182,0.681818181818182,0,0,0,0
"2121040",0.4375,0.125,0.4375,0,0,0,0
"2121060",0.6,0.2,0.2,0,0,0,0
"2121070",0.777777777777778,0.222222222222222,0,0,0,0,0
"2121110",0.0625,0.3125,0.625,0,0,0,0
"2121055",0.8125,0.104166666666667,0.0833333333333333,0,0,0,0
"2121095",0.941176470588235,0.0588235294117647,0,0,0,0,0
"2121005",1,0,0,0,0,0,0
"2121050",0.875,0.125,0,0,0,0,0
"2121010",1,0,0,0,0,0,0
"2121045",0.928571428571429,0.0476190476190476,0.0238095238095238,0,0,0,0
"2121080",0.173913043478261,0.434782608695652,0.391304347826087,0,0,0,0
"2121035",0.777777777777778,0.222222222222222,0,0,0,0,0
"2121030",0.714285714285714,0.0714285714285714,0.214285714285714,0,0,0,0
"2121015",0.95,0,0.05,0,0,0,0
"2121025",0.0666666666666667,0.166666666666667,0.766666666666667,0,0,0,0
"2121020",0.192307692307692,0.115384615384615,0.692307692307692,0,0,0,0
"2121235",0.980392156862745,0.0196078431372549,0,0,0,0,0
"2121075",0.0357142857142857,0.0357142857142857,0.928571428571429,0,0,0,0
"2121065",0.0666666666666667,0.266666666666667,0.666666666666667,0,0,0,0
"2121090",1,0,0,0,0,0,0
"2121085",1,0,0,0,0,0,0
