gnd_id,distance_roadways_motorway,distance_roadways_trunk,distance_roadways_primary,distance_roadways_secondary,distance_roadways_tertiary
"1212625",26097.8438672917,0,0,0,0
"1239245",7096.37171932733,7096.37171932733,2122.37304957169,0,0
"1212705",19426.1239377445,4178.90423397382,1193.43641274418,0,0
"1239190",4473.49285037097,1854.12273188298,1854.12273188298,197.08436050172,0
"1212675",18691.7920310192,5226.76976615614,2166.63393088919,0,0
"1212605",23925.6519394439,2421.78627127268,2421.78627127268,701.955906955148,701.955906955148
"1239175",7666.85539076307,4186.45519308046,1376.97473705855,0,0
"1212715",20058.0338211537,3833.18047682458,1047.42104941231,0,0
"1239180",6882.18722842792,3868.00614936244,1668.8252864186,0,0
"1212725",28336.8276212854,1331.15210655509,1331.15210655509,835.51958492219,0
"1239185",6108.62792092653,3437.58207042158,3293.20784092102,0,0
"1239240",7134.08585534545,7134.08585534545,1522.81794363088,0,0
"1215450",7727.52652577692,3271.67262326586,3271.67262326586,867.929029873724,0
"1215445",6512.65357590522,3679.49315772909,3679.49315772909,0,0
"1215350",11385.1487804679,3593.12568605656,3593.12568605656,0,0
"1215565",5161.50071702175,3436.30209244803,3436.30209244803,29.1930760086807,29.1930760086807
"1224465",11107.5081007155,1190.55952185438,1190.55952185438,0,0
"1215380",13863.5078490847,2659.59672696265,2659.59672696265,98.8622569201876,98.8622569201876
"1224500",12397.2257692588,2783.45390898902,2783.45390898902,0,0
"1224455",7895.23424585326,264.648338850693,264.648338850693,264.648338850693,0
"1215375",15124.932201345,3180.33999759288,3180.33999759288,0,0
"1215345",11868.6841795537,4387.61248739231,4387.61248739231,573.500950027192,0
"1215340",10389.9680403863,4482.9746623906,4482.9746623906,0,0
"1215360",13714.105045236,4502.09479734694,4502.09479734694,0,0
"1215430",7496.39722890216,3905.06231426139,3905.06231426139,535.633207135593,0
"1227530",21993.5133905645,2702.97042313305,2702.97042313305,1265.95339207569,0
"1227570",26214.4773509248,5394.13190173549,5394.13190173549,0.737051873651912,0.737051873651912
"1215415",9755.8526138299,4117.49088680376,4117.49088680376,0,0
"1227485",22441.7767723644,2516.21901451852,2516.21901451852,1000.80983626955,0
"1209470",20782.347668922,10542.2562239285,8628.58801934191,445.978113578847,445.978113578847
"1227540",23361.9212266496,2942.2990235932,2942.2990235932,817.2521613066,486.939592367922
"1227435",27640.1540882236,7534.12779465109,7534.12779465109,651.514778171426,651.514778171426
"1227295",13052.8377943868,1278.39835969772,1278.39835969772,1278.39835969772,1033.15429346132
"1227490",21832.2664384851,2280.35516739789,2280.35516739789,1042.11394231999,0
"1227550",25328.5640126063,4353.65009345134,4353.65009345134,332.524631189735,332.524631189735
"1215435",7450.29550866054,4447.56132870846,4447.56132870846,0,0
"1227690",16675.0431465895,1170.90981584859,1170.90981584859,0,0
"1227585",24640.8546784418,7468.98593665717,7468.98593665717,0,0
"1209295",13632.2001529202,11115.6854787716,10627.768082349,0.55541439100992,0.55541439100992
"1209460",22884.073201159,9103.71108388527,8955.69348856824,439.59167652573,439.59167652573
"1209465",21585.2855287887,9130.49326992002,8266.17993421419,79.6757938704858,79.6757938704858
"1209450",24736.4736026307,7776.71960530269,7776.71960530269,0,0
"1209305",11548.7383946546,8848.87373600668,8540.3506935907,0,0
"1209495",15741.1801628604,13347.1968880719,10330.6150453987,0,0
"1233430",352.295877890354,352.295877890354,352.295877890354,111.323002121249,0
"1233125",17227.4498447219,6073.72987631025,6073.72987631025,473.391471546315,473.391471546315
"1233440",1428.28373837343,1405.16933158105,1405.16933158105,0,0
"1233385",3519.98045530925,0,0,0,0
"1233435",371.401405417986,371.401405417986,371.401405417986,0,0
"1230285",15282.4535526326,5867.51389464046,5867.51389464046,0,0
"1233445",1960.48902310742,930.841228818009,930.841228818009,51.6680578149234,0
"1233400",2787.92405343409,91.7503714643706,91.7503714643706,0,0
"1227740",20839.2790511767,6055.49901457154,6055.49901457154,344.575072607539,344.575072607539
"1227735",20992.9494191245,6218.4999520083,6218.4999520083,588.995663047023,588.995663047023
"1227730",21019.870422168,6935.10478165374,6935.10478165374,1354.30732265833,619.689124234873
"1212115",29274.0737268826,6248.51341441024,6248.51341441024,0,0
"1227725",22451.5089998875,8629.63243987997,8629.63243987997,0,0
"1227720",22379.5607184903,7682.77483017768,7682.77483017768,0,0
"1233185",11438.3438213722,6025.32112528612,6025.32112528612,1030.2546166341,1030.2546166341
"1233320",8405.90591903366,2504.7466391546,2504.7466391546,252.113454510848,0
"1212050",30662.5642821695,8823.41495477659,3418.13478827301,256.746226798845,256.746226798845
"1212035",33618.0221374112,6483.63907295698,4263.03025557093,235.742831808542,214.242794631897
"1227675",17689.4765755678,1428.25083684302,1428.25083684302,0,0
"1212540",26270.325483462,1312.19698607836,1312.19698607836,0,0
"1227595",22662.2773889018,9191.51417490282,9110.78425189387,0,0
"1227685",16640.8142792042,635.709317963856,635.709317963856,289.14455223186,289.14455223186
"1227600",24167.8387754775,8942.33440643126,8942.33440643126,0,0
"1212130",32561.8428546493,4815.95672647607,4815.95672647607,0,0
"1212010",32981.7549294643,8924.06829264222,0,0,0
"1224505",10983.9857138523,1913.34587212867,1913.34587212867,336.893656124712,336.893656124712
"1212015",31745.4694839946,9024.75990790452,1480.39419890545,327.552343157605,0
"1212005",30030.7539088959,10996.6915720681,669.824146065885,0,0
"1212020",31345.3242005316,10881.0809532743,2684.02439852821,0.148924461918516,0.148924461918516
"1212025",30107.8026984831,10910.4457533822,2881.38350679686,0,0
"1212030",32213.4349009695,9746.80962679528,3338.1043768826,1094.88423413573,0
"1212040",32920.3551622474,7768.95085133391,3509.91850683777,817.695420717454,281.638599621016
"1227120",20109.5613239256,1108.98710574624,102.460942329225,0,0
"1212515",30042.1833199383,0,0,0,0
"1227310",17337.9977064634,1086.67787060632,1086.67787060632,1086.67787060632,1086.67787060632
"1227135",18059.7816046507,3505.96233810041,1238.16825442092,0,0
"1209455",23490.9353973134,8186.91546072217,8186.91546072217,0,0
"1227560",27333.4710078382,4325.58184979723,4325.58184979723,1.2285808460444,1.2285808460444
"1227715",22061.6802669425,7260.19495238329,7260.19495238329,1008.37528998173,1008.37528998173
"1209475",19365.2498349505,11654.1001313811,9316.80032860335,0,0
"1227060",22714.107167346,363.96757544045,363.96757544045,363.96757544045,363.96757544045
"1227050",21707.7995783907,1473.81232017451,1473.81232017451,0,0
"1227125",19659.3686917509,2892.551752049,4.07347422446224,0,0
"1227040",20416.3909192252,2345.03340648801,114.71680544868,0,0
"1227575",25035.3434821224,7131.17186528843,7131.17186528843,0,0
"1227225",25139.3104333886,1539.96716304294,1539.96716304294,984.255440072217,984.255440072217
"1233390",3229.87954559827,0,0,0,0
