gnd_id,elevation
"8124120",916.853146853147
"2121215",148.206896551724
"2121210",143.489552238806
"2121200",128.459459459459
"2121195",97.6563245823389
"2121190",413.330128205128
"2121185",446.846854304636
"2121180",220.858560794045
"2121205",234.554465161923
"2121220",107.836012861736
"2121170",179.546468401487
"2121175",257.091984231275
"2121165",207.567975830816
"2121140",93.8717948717949
"2121160",488.609501738123
"2121145",190.98743718593
"2121155",193.414248021108
"2121125",119.693548387097
"2121150",128.880239520958
"2121120",281.802005012531
"2121135",91.1245733788396
"2121040",184.313069908815
"2121060",145.717741935484
"2121070",123.833333333333
"2121110",88.9612590799031
"2121055",403.031650983747
"2121095",409.526829268293
"2121005",454.33991416309
"2121050",956.855633802817
"2121010",330.273045507585
"2121045",510.923743500867
"2121080",90.3479789103691
"2121035",144.488888888889
"2121030",144.188976377953
"2121015",127.741648106904
"2121025",86.2323097463284
"2121020",84.3793103448276
"2121235",314.840064620355
"2121075",84.907967032967
"2121065",88.9369863013699
"2121090",157.517915309446
"2121085",169.607547169811
"2121230",119.134408602151
"2121225",110.134615384615
"2139335",544.407608695652
"2139500",564.761904761905
"2139520",567.381818181818
"2139525",572
"2139475",520.756756756757
"2139485",557
"2139465",514.238095238095
"2139460",505.375
"2139380",514.648648648649
"2139555",504.666666666667
"2139425",498.222222222222
"2139440",501.090909090909
"2139390",523.410714285714
"2139265",562.133333333333
"2139275",551.433333333333
"2139295",517.619047619048
"2139290",512.733333333333
"2139285",506.166666666667
"2139120",534.411764705882
"2139175",543.617021276596
"2139110",527.638888888889
"2139180",536.385964912281
"2139260",541.59375
"2139210",557.425
"2139195",539.573770491803
"2139255",556.890410958904
"2139320",546.949367088608
"2139375",513.357142857143
"2139370",520.448275862069
"2139105",529.4
"2139240",518.051724137931
"2139245",590.138888888889
"2139235",537.464646464646
"2139205",541.688311688312
"2139200",607.285714285714
"2139455",507.407407407407
"2139470",519.897435897436
"2139450",498.516129032258
"2139585",515.236842105263
"2139480",575.146341463415
"2139145",515.894736842105
"2139420",509.017857142857
"2139410",515.821428571429
"2139215",537.896551724138
"2139075",566.154929577465
"2139080",522.409090909091
"2139045",572.536231884058
