gnd_id,births
"1212625",15.9316525175631
"1239245",47.6126136779785
"1212705",14.552273273468
"1239190",55.7624855041504
"1212675",11.6011562561807
"1212605",14.084903717041
"1239175",39.7736900356797
"1212715",2.57318679015397
"1239180",46.1160430908203
"1212725",14.3246450424194
"1239185",15.4310233607605
"1239240",22.0287368996206
"1215450",17.5940647125244
"1215445",6.18484954974972
"1215350",17.2989311218262
"1215565",10.0351714153055
"1224465",6.28631263038116
"1215380",13.4147962569474
"1224500",13.7392621604439
"1224455",5.31184473359307
"1215375",26.5959873199463
"1215345",18.5778331756592
"1215340",8.81516874036687
"1215360",7.39138541730408
"1215430",5.32823101477367
"1227530",5.48184887231959
"1227570",11.1338715382789
"1215415",13.2201407079124
"1227485",7.78161396029327
"1209470",9.64671569509068
"1227540",5.13035515684828
"1227435",10.1719518298722
"1227295",11.0363427368144
"1227490",1.42477648234488
"1227550",4.80591939056946
"1215435",7.10496285333935
"1227690",8.50700327181262
"1227585",20.8330836296082
"1209295",8.72684894649657
"1209460",10.0675921440125
"1209465",11.2703170776367
"1209450",10.067834854126
"1209305",12.358277797699
"1209495",17.5353488922119
"1233430",95.3793536694566
"1233125",6.57080094310973
"1233440",168.492542007741
"1233385",5.78971276367664
"1233435",165.306799357719
"1230285",10.8550201013649
"1233445",50.1218124690577
"1233400",6.5244317438416
"1227740",14.2992076873779
"1227735",8.25752110643773
"1227730",16.1704111099243
"1212115",6.42577126389028
"1227725",21.6242952346802
"1227720",8.66904203340597
"1233185",18.8790011405945
"1233320",11.1438522384064
"1212050",16.7745575704081
"1212035",30.1450004577637
"1227675",12.3712682723999
"1212540",6.09484512938186
"1227595",31.3811268806458
"1227685",3.44764860830428
"1227600",13.4893026351929
"1212130",4.53927346839172
"1212010",41.6866364479065
"1224505",18.389240674891
"1212015",28.5963540077209
"1212005",27.4611310958862
"1212020",12.8730492591858
"1212025",14.3400301933289
"1212030",3.45207748530431
"1212040",19.0014262151362
"1227120",11.3508672747952
"1212515",4.34001361754312
"1227310",3.34846119994958
"1227135",8.53502533548907
"1209455",8.80905197371551
"1227560",3.93295293737194
"1227715",17.2799253463745
"1209475",12.1292324066162
"1227060",7.51559112538234
"1227050",6.13317576050487
"1227125",3.422907324581
"1227040",3.63691277402026
"1227575",4.22207163007956
"1227225",1.85827027250737
"1233390",5.20717880563962
"1227330",6.55218193690546
"1227030",5.95019800778822
"1227630",4.6157782711628
"1227640",4.06525452785197
"1227070",47.3820238113403
"1227065",9.20268089931278
"1227025",3.24075410424315
"1224420",6.45595421939428
"1227045",6.01630595788185
"1236100",37.5288927431338
"1233450",142.495276312518
"1227140",12.8277277946472
"1227085",4.75453225647609
"1236120",13.1688090958186
"1215560",27.8749895095825
"1236090",94.328649520874
"1236115",26.1905626929129
"1215505",14.8558210913206
"1215605",14.3355847525499
"1215515",16.233190948268
"1215600",12.9411697116211
"1233035",16.7881756289861
"1233045",23.9714722633362
"1221025",336.582565307617
"1206390",4.07998041955859
"1230665",16.3939867019653
"1230640",10.7338058671692
"1218010",12.0353429317474
"1218005",5.42595437393726
"1218020",4.49082348035467
"1218015",12.9585074186325
"1215520",29.0390682220459
"1218025",40.1437132358551
"1230170",9.43294724124974
"1230175",6.38392212770322
"1230270",13.5467162132263
"1230230",12.8093649224831
"1230305",3.87499374114968
"1230040",9.71227710583358
"1230645",12.3483025266976
"1230310",5.03738819555573
"1212590",14.9140667915344
"1227315",6.73295755897645
"1212660",7.85317507315799
"1212665",27.445725440979
"1209090",10.7549676895142
"1212740",4.67851101236105
"1230010",13.3902592658997
"1209095",4.7881341361234
"1209250",11.2703175544739
"1227605",23.1023650169373
"1221110",90.0038656739422
"1221105",97.4716351341893
"1221120",21.8722052574158
"1221115",49.5201883313388
"1221140",41.595287322998
"1221130",21.6922339899622
"1212550",13.1281766891479
"1206045",4.79635804888296
"1212520",4.85383652246237
"1212575",6.31189456017834
"1212530",5.96590434650796
"1212700",10.2042971993966
"1227705",8.23919954418376
"1227695",19.7660617828369
"1209395",11.4421000480652
"1227290",18.619122505188
"1227515",13.9268953028777
"1227565",7.31459864699243
"1209030",9.56119918823242
"1227195",36.7940275931397
"1212185",6.47672085418899
"1212200",3.66288797817037
"1209290",34.7843904495239
"1209150",18.6805682182312
"1227335",15.1355690956116
"1227445",13.4893026351929
"1209170",3.76328539909356
"1227425",38.9138998985291
"1227500",18.3487272262573
"1227505",5.83947159685222
"1212615",1.57583815938741
"1209300",1.13274884970919
"1209560",1.69222053349015
"1236180",33.4812369424675
"9230070",24.8113465309143
"0",25.8158354945481
"9230035",90.9626975059509
"9233005",23.9575834274292
"1230195",8.95804112005981
"1206100",9.97118616104126
"1206110",5.60476410865662
"1206105",7.52236768568761
"1206095",9.43335294723511
"1206090",8.87829303741455
"1212195",2.39250727430209
"1206115",48.0081735766972
"1230335",13.1845984458923
"1203105",43.6337163899358
"1230250",19.5699725151062
"1230340",14.7031333417424
"1230295",10.385630607605
"1230255",15.1798791885376
"1230260",17.4398221969604
"1230200",4.67036799490115
"1221100",22.6671656362112
"1221135",16.0807371163427
"1221240",43.992280960083
"1221260",34.1111459732056
"1221230",19.7752504348755
"1221185",9.97686575619085
"1203085",113.153728336019
"1203080",54.9167118963447
"9215130",31.2004737854004
"9209010",19.6858005523682
"9218160",18.053701877594
"9218170",28.5560908317566
"9221040",48.2223982810974
"9212155",13.0878810679562
"9227160",68.9212808609009
"9224095",19.3506946563721
"9230150",61.1000852584839
"9233065",45.6340057849884
"9233120",28.972118139267
"9233130",117.852312803268
