gnd_id,population_count_ciesin
"1212625",1630.93134313407
"1239245",2931.87789612756
"1212705",2949.21337890625
"1239190",6220.06640625
"1212675",1765.9912457221
"1212605",1331.02471923828
"1239175",2867.52583367675
"1212715",531.722758096344
"1239180",3515.40844726562
"1212725",2041.34329223633
"1239185",1461.43158354104
"1239240",2834.34778955393
"1215450",2133.83483886719
"1215445",1082.92963197629
"1215350",2103.44549560547
"1215565",1313.59145890552
"1224465",1047.32556447426
"1215380",1429.19929192512
"1224500",2278.49595955286
"1224455",1705.02170850273
"1215375",2764.91033935547
"1215345",1536.35575615025
"1215340",976.119147055416
"1215360",1300.79336561576
"1215430",884.151307258509
"1227530",763.890301725552
"1227570",1384.70983886719
"1215415",1605.43442833649
"1227485",1465.05442831003
"1209470",457.966461127521
"1227540",1107.36156592313
"1227435",605.286616551715
"1227295",1059.4861012906
"1227490",162.260232656039
"1227550",412.474333894247
"1215435",1364.63025894502
"1227690",1179.38530167075
"1227585",1228.57945251465
"1209295",1391.3318049643
"1209460",1178.29833984375
"1209465",827.103439331055
"1209450",646.503160746038
"1209305",1895.24206542969
"1209495",1888.91491699219
"1233430",2493.04925759519
"1233125",574.793057043984
"1233440",2361.2914480455
"1233385",1768.31529393952
"1233435",3870.48699943863
"1230285",1126.99911065651
"1233445",1990.46453249035
"1233400",1841.34058178675
"1227740",1609.49688720703
"1227735",737.705039465474
"1227730",1197.04656982422
"1212115",928.751073615827
"1227725",1424.95288085938
"1227720",547.110759485754
"1233185",1217.99389648438
"1233320",2219.50843091205
"1212050",1108.75484041803
"1212035",1061.92976379395
"1227675",1792.98492431641
"1212540",767.427482676291
"1227595",1273.99856567383
"1227685",464.059052576026
"1227600",1095.43530273438
"1212130",907.932134599802
"1212010",1558.5170135498
"1224505",2752.98852539062
"1212015",2539.26614379883
"1212005",2118.12585449219
"1212020",364.806057480793
"1212025",660.029571533203
"1212030",474.951684164027
"1212040",854.511291503906
"1227120",2310.61405058418
"1212515",685.587304700904
"1227310",500.038366663635
"1227135",1572.63826288654
"1209455",1077.82611360807
"1227560",502.182237502564
"1227715",1040.53775024414
"1209475",1026.57473754883
"1227060",592.286891102194
"1227050",958.528637768896
"1227125",888.840657920415
"1227040",518.974314746313
"1227575",361.418155539918
"1227225",448.577904395944
"1233390",2149.44947148836
"1227330",1318.40850257658
"1227030",897.791989385055
"1227630",704.443118545932
"1227640",1772.5231881651
"1227070",2382.16116333008
"1227065",1124.52267368567
"1227025",796.348366663388
"1224420",1345.15166953464
"1227045",677.832601256264
"1236100",2086.92080393938
"1233450",1991.81584669229
"1227140",3023.51007080078
"1227085",662.953196912934
"1236120",5126.06528861823
"1215560",2199.19958496094
"1236090",2833.18775731358
"1236115",6738.58332057811
"1215505",1500.86570515913
"1215605",1311.19434460381
"1215515",1536.43921762882
"1215600",719.591538208482
"1233035",1096.46005249023
"1233045",2064.88604736328
"1221025",4921.48364257812
"1206390",891.456418336317
"1230665",2489.36285400391
"1230640",960.854722028328
"1218010",3652.61663818359
"1218005",2225.39965820312
"1218020",1974.49661402285
"1218015",4085.01110839844
"1215520",2239.06921386719
"1218025",1812.14630126953
"1230170",696.281484031803
"1230175",334.853300752736
"1230270",1735.49899291992
"1230230",1430.05243271439
"1230305",435.946820517293
"1230040",747.210589237061
"1230645",925.877807617188
"1230310",500.703757313763
"1212590",2306.12707519531
"1227315",877.678001594816
"1212660",1723.86213713857
"1212665",1787.38165283203
"1209090",739.618713378906
"1212740",544.531542351185
"1230010",905.610595703125
"1209095",643.844488537034
"1209250",854.008331298828
"1227605",1740.77545166016
"1221110",1278.65989671235
"1221105",3806.60783469155
"1221120",6119.09350585938
"1221115",2405.01614177439
"1221140",3596.84643554688
"1221130",2609.17899558002
"1212550",1786.68218994141
"1206045",1525.12877915769
"1212520",1220.79700718781
"1212575",1120.74675661648
"1212530",1066.63570208964
"1212700",2047.27947408986
"1227705",875.836473130345
"1227695",1483.96087646484
"1209395",734.40771484375
"1227290",1764.56262207031
"1227515",1791.68761732824
"1227565",604.217763516121
"1209030",1590.44332885742
"1227195",249.87803690922
"1212185",809.194752153958
"1212200",450.737598238722
"1209290",1918.22946166992
"1209150",1984.44897460938
"1227335",3474.57360839844
"1227445",948.288787841797
"1209170",541.421292572695
"1227425",1484.34048461914
"1227500",2589.06524160412
"1227505",1678.6923522905
"1212615",172.568294935934
"1209300",214.333108156557
"1209560",440.231743751263
"1236180",4162.73232611987
"9230070",3054.30346679688
"0",18484.5052528381
"9230035",2276.37818908691
"9233005",1619.4373626709
"1230195",1035.75761381978
"1206100",3177.68237304688
"1206110",3494.11844357514
"1206105",2233.0207447847
"1206095",2476.49021732166
"1206090",2133.58142089844
"1212195",358.203534791082
"1206115",4245.84919591607
"1230335",1065.61730957031
"1203105",1979.05579049623
"1230250",833.62548828125
"1230340",1311.64874215835
"1230295",1404.40853881836
"1230255",2053.40472412109
"1230260",1651.35949707031
"1230200",569.434520811013
"1221100",2372.19012997704
"1221135",2532.4621730708
"1221240",5028.48797029629
"1221260",6345.650390625
"1221230",6865.51245117188
"1221185",3131.13727110742
"1203085",4657.07661373196
"1203080",2854.28896415138
"9215130",1630.89807128906
"9209010",1502.62469482422
"9218160",653.587745306492
"9218170",2640.82855224609
"9221040",2014.87481689453
"9212155",970.176932931355
"9227160",1648.29694366455
"9224095",1556.18411254883
"9230150",2466.42535400391
"9233065",1635.79935455322
"9233120",1379.15277099609
"9233130",1069.24142837524
"9230175",955.816818237305
"9233125",1135.07179260254
"9215115",1593.09436035156
