gnd_id,population_count_worldpop
"1212625",1543.6861782074
"1239245",2829.94775629044
"1212705",4245.99009847641
"1239190",4409.42544364929
"1212675",1686.38160991669
"1212605",1238.92499470711
"1239175",2828.93839073181
"1212715",714.625542640686
"1239180",3322.80213737488
"1212725",1461.41797113419
"1239185",1207.99502658844
"1239240",3728.87234210968
"1215450",1792.36059427261
"1215445",912.020153522491
"1215350",1448.65645599365
"1215565",1658.99827957153
"1224465",1014.83582115173
"1215380",1492.55336952209
"1224500",2508.81956148148
"1224455",2384.09182167053
"1215375",1683.33623552322
"1215345",1361.330742836
"1215340",1459.600045681
"1215360",1640.85630321503
"1215430",678.137922286987
"1227530",592.381353855133
"1227570",802.366841554642
"1215415",1943.79972887039
"1227485",1597.80560278893
"1209470",378.279829442501
"1227540",1188.06278467178
"1227435",546.713768959045
"1227295",775.467509746552
"1227490",176.946235656738
"1227550",375.411475896835
"1215435",1896.10004472733
"1227690",1241.30823469162
"1227585",885.662675619125
"1209295",1586.78653049469
"1209460",900.837039470673
"1209465",782.061540782452
"1209450",645.511969804764
"1209305",2028.68473577499
"1209495",1340.70678055286
"1233430",2264.97884368896
"1233125",803.264025211334
"1233440",1881.26449489594
"1233385",1717.96654891968
"1233435",3840.66821956635
"1230285",1480.0380525589
"1233445",1084.55566215515
"1233400",2820.35775375366
"1227740",851.659148693085
"1227735",856.803043603897
"1227730",1252.5355424881
"1212115",1151.45087528229
"1227725",1156.26654076576
"1227720",459.770157337189
"1233185",1539.8208117485
"1233320",2615.91195011139
"1212050",1118.48231303692
"1212035",802.771398544312
"1227675",875.602093458176
"1212540",887.325704574585
"1227595",1439.28608298302
"1227685",507.007079124451
"1227600",1103.53864181042
"1212130",841.950068473816
"1212010",1558.27208024263
"1224505",2723.97607326508
"1212015",2016.42652797699
"1212005",3390.91129386425
"1212020",316.666185855865
"1212025",653.628161430359
"1212030",525.725480318069
"1212040",990.659846544266
"1227120",2750.00060653687
"1212515",748.010011434555
"1227310",778.708031654358
"1227135",1484.78481435776
"1209455",1038.45487785339
"1227560",463.821798682213
"1227715",600.119735717773
"1209475",929.099268436432
"1227060",734.743886470795
"1227050",928.809129238129
"1227125",1463.21977806091
"1227040",512.376118183136
"1227575",349.377070903778
"1227225",521.640797615051
"1233390",2480.06298065186
"1227330",1219.07053375244
"1227030",749.805902004242
"1227630",1014.05327892303
"1227640",2176.60492515564
"1227070",2243.73537647724
"1227065",1034.25008511543
"1227025",422.328621864319
"1224420",1582.00541782379
"1227045",645.126141548157
"1236100",1824.22649765015
"1233450",2686.39512443542
"1227140",1909.37975287437
"1227085",758.259234786034
"1236120",5259.57708930969
"1215560",853.915692329407
"1236090",3355.94261932373
"1236115",7172.10745048523
"1215505",1858.41878557205
"1215605",1238.64440870285
"1215515",1773.02314662933
"1215600",895.166418075562
"1233035",1078.94873380661
"1233045",1813.6986451149
"1221025",5585.25616931915
"1206390",1030.41913461685
"1230665",1668.0198996067
"1230640",982.730602502823
"1218010",2328.4715282917
"1218005",2908.62381219864
"1218020",1979.84454202652
"1218015",3189.80091714859
"1215520",1951.03744268417
"1218025",2240.12415647507
"1230170",715.486741304398
"1230175",289.632622599602
"1230270",1255.05175948143
"1230230",1742.03586673737
"1230305",618.474748015404
"1230040",655.255082130432
"1230645",908.107688188553
"1230310",506.688605070114
"1212590",1633.42137813568
"1227315",1647.08220481873
"1212660",1796.42173647881
"1212665",1131.87595665455
"1209090",750.0280148983
"1212740",552.563019752502
"1230010",1524.12563633919
"1209095",842.175519227982
"1209250",1057.05966413021
"1227605",1592.13268995285
"1221110",877.924784183502
"1221105",4039.34719610214
"1221120",3852.15517139435
"1221115",2532.18348693848
"1221140",3036.75212240219
"1221130",3391.51824092865
"1212550",973.244713306427
"1206045",1542.28755235672
"1212520",1470.43529224396
"1212575",1176.30469751358
"1212530",1086.36919164658
"1212700",2049.40927696228
"1227705",1228.30293631554
"1227695",1271.12073469162
"1209395",926.048105359077
"1227290",1655.64321804047
"1227515",1411.3957593441
"1227565",1001.72723865509
"1209030",1272.62270355225
"1227195",450.183896064758
"1212185",397.405857086182
"1212200",367.335839748383
"1209290",1336.251334548
"1209150",1483.28453278542
"1227335",1638.7288403511
"1227445",570.28268802166
"1209170",535.642075181007
"1227425",1047.7902545929
"1227500",3436.9581360817
"1227505",2055.26170730591
"1212615",194.527679920197
"1209300",408.614624023438
"1209560",334.550577640533
"1236180",4021.75151252747
"9230070",3233.68767952919
"0",5117.18153333664
"9230035",2258.27683234215
"9233005",1210.60835051537
"1230195",1025.87615585327
"1206100",5286.02081298828
"1206110",2951.82465076447
"1206105",3387.64766597748
"1206095",2419.92470932007
"1206090",2580.93962025642
"1212195",570.59214258194
"1206115",3578.9693031311
"1230335",1288.11734962463
"1203105",2364.26527404785
"1230250",1088.8245524168
"1230340",1558.72163021564
"1230295",513.443229079247
"1230255",1835.89133405685
"1230260",1168.14072108269
"1230200",631.888152837753
"1221100",2628.46312332153
"1221135",1847.26452445984
"1221240",6040.51421546936
"1221260",4233.26189041138
"1221230",3729.02996063232
"1221185",4128.2763299942
"1203085",5057.73462677002
"1203080",2649.1993522644
"9215130",1269.04231786728
"9209010",1594.57159459591
"9218160",641.456901192665
"9218170",3109.85555005074
"9221040",2180.01259529591
"9212155",1207.83403730392
"9227160",1819.17319169641
"9224095",1909.29643428326
"9230150",2457.78473460674
"9233065",1769.54760941863
"9233120",1595.42576956749
"9233130",849.090407816693
"9230175",1320.4790585041
"9233125",993.614042844623
"9215115",1520.29554176331
"9230180",699.639364242554
