tower_id,tower_area
"46778",29774640.8370056
"46787",11044494.4837952
"108499",31097879.9328308
"75436",167504464.729797
"14167",28744423.3040161
"22368",4352812.03979492
"10084",1160071.84214783
"34495",23054167.3514709
"26674",16635302.5392456
"46738",36044960.2479248
"42644",34694179.0567017
"14375",77406510.2419434
"30780",30852673.8049622
"34440",6710652.50643921
"30777",7428750.67861938
"59043",120528538.373718
"108205",5000571.44918823
"87690",114895742.011505
"42661",5377152.32089233
"108214",4771692.74285889
"108211",8934583.64004517
"46700",3976280.32507324
"26633",1081715.29055786
"2107",2360533.1109314
"26634",1413566.41717529
"108222",2627938.92388916
"26631",956293.692687988
"2105",4588204.20883179
"108219",4050533.72109985
"2106",1917519.65371704
"108220",2224707.78918457
"67207",94320030.8988342
"2103",2545573.66610718
"108217",5365200.99172974
"14349",5514894.81195068
"38508",3130496.58123779
"34413",3348222.81912231
"14350",17752667.8487244
"108215",4050570.11676025
"38505",2956061.91012573
"38506",1723329.66308594
"108230",13846824.3209534
"30750",25752658.2530518
"38517",5293007.36468506
"2114",10234996.0488281
"34407",7461411.3119812
"108225",13572860.9128113
"6158",11933703.7207031
"50812",65766198.7472839
"30745",4544622.58926392
"59010",37440361.8954773
"34430",7332445.99887085
"75424",109840885.981934
"34427",4848703.24945068
"6159",11145645.4822998
"26656",10708251.014679
"38534",64861271.4555969
"34423",1886691.00213623
"34424",2226282.15274048
"34437",6530929.06420898
"18466",198970068.890808
"79484",26068247.1374512
"34380",41680404.5205994
"38483",9530086.13516235
"75386",64859363.7659607
"38481",5225015.83172607
"38479",8723618.20605469
"26629",763698.473937988
"18427",19480482.1553955
"26630",795919.254852295
"26628",105951.306152344
"38490",12064837.9181213
"30669",7766401.83834839
"38488",10628166.8573303
"38499",2226758.40063477
"38500",6694700.75543213
"30666",6577672.21142578
"38498",7912233.32684326
"30664",5598345.7142334
"6136",33489132.984314
"30673",11225764.4989929
"38697",11517387.518219
"10189",43245284.6907959
"91744",113367290.70224
"30683",15957951.0523682
"18383",37907648.1788635
"38716",7690710.66802979
"10201",47651956.2437744
"18404",60416878.3695984
"38722",23710217.2915344
"6118",21305917.5382996
"55070",54557521.3294678
"30397",1086976.76184082
"30398",1204802.53393555
"87873",35358491.7547302
"30395",1220481.18963623
"30396",591648.793243408
"30393",107547.362213135
"38676",2621148.52325439
"30394",825843.053192139
"22205",23475298.1471863
"38674",1262838.12973022
"67385",91398135.0812378
"30403",2743985.20492554
"30401",2270492.93927002
"18108",11245228.6146851
"38684",12977075.0289612
"14011",420243403.641693
"30400",970712.961364746
"38679",6693956.41305542
"38693",10105477.0970459
"18118",15051251.6843567
"59125",48806288.1361694
"18115",18351598.2755737
"104239",78913709.1549377
"67335",36166386.254425
"59134",15439593.8025208
"83735",91779771.2518921
"22174",17146111.0606689
"42750",37280995.4997253
"42744",23041395.9349365
"38648",3511005.1541748
"95998",41598696.2799988
"54983",38468508.6922913
"22176",21098393.5162964
"34563",45117525.2380371
"22126",10860198.2444153
"71399",93560106.6156921
"54996",84810471.951416
"104221",26292034.3605042
"42695",9073184.73703003
"30322",67328806.4111633
"46803",24864698.3786926
"34510",58491273.9339905
"22133",21186008.1526489
"95949",115457534.526428
"9833",1955233.5607605
"59104",48474051.0667419
"34520",52794161.055603
"104177",12045564.9451904
"75475",900941.007507324
"34528",107558029.951019
"35244",17680274.5183716
"43443",8526114.3163147
"47535",31653162.1281128
"30300",77044858.4541931
"43440",5043871.52377319
"35249",21129650.227478
"47543",19548117.3638916
"1610",7871026.42733765
"43449",13362068.6229553
"26408",20377090.7461243
"43413",731359.364227295
"43412",1569542.89544678
"14133",97858422.9659119
